fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,5040,5700,0.26666666666666666,-0.021860146906625594,-1.2828620266319675,-0.04636408686374953,0.3333333333333333,15,"[np.float64(0.8999999999999999), np.float64(0.09999999999999973), np.float64(3.608224830031759e-16)]"
2,660,5700,6360,0.19696969696969696,-0.03614648936249214,-2.581225488214062,-0.0430987131929342,0.25,20,"[np.float64(0.78), np.float64(0.0), np.float64(0.21999999999999997)]"
3,1320,6360,7020,0.41818181818181815,0.012782278591585419,2.4699757461499616,-0.008259202183432058,0.6666666666666666,6,"[np.float64(0.029999999999999943), np.float64(0.91), np.float64(0.06000000000000005)]"
4,1980,7020,7680,0.4621212121212121,-0.05482285040059524,-2.319382913545015,-0.07327525850964672,0.2222222222222222,18,"[np.float64(0.0), np.float64(0.7000000000000001), np.float64(0.29999999999999993)]"
5,2640,7680,8340,0.38181818181818183,-0.04678256980876413,-2.906797037590413,-0.04678256980876413,0.23076923076923078,26,"[np.float64(0.0), np.float64(0.30000000000000004), np.float64(0.7)]"
6,3300,8340,9000,0.28484848484848485,0.036201835039743495,4.217721947133893,-0.01544222344742169,0.7,10,"[np.float64(0.0), np.float64(0.9500000000000001), np.float64(0.04999999999999993)]"
7,3960,9000,9660,0.5681818181818182,-0.015121610851002516,-1.674799418066659,-0.034335836520910594,0.3684210526315789,19,"[np.float64(0.9299999999999997), np.float64(0.049999999999999836), np.float64(0.020000000000000448)]"
8,4620,9660,10320,0.6848484848484848,-0.009704814366064601,-2.5814666925388905,-0.01449716908521441,0.0,2,"[np.float64(0.93), np.float64(0.0), np.float64(0.06999999999999995)]"
9,5280,10320,10980,0.4166666666666667,-0.029231174082584403,-5.169619358145115,-0.03799651549744736,0.16666666666666666,12,"[np.float64(0.6499999999999999), np.float64(0.33999999999999997), np.float64(0.01000000000000012)]"
10,5940,10980,11640,0.6484848484848484,-0.0016527828690661409,-0.21699517996189868,-0.02153869808941762,0.5,6,"[np.float64(0.7999999999999998), np.float64(0.12999999999999984), np.float64(0.07000000000000034)]"
11,6600,11640,12300,0.6515151515151515,-0.00628603322878007,-1.0038866414634404,-0.01628789125497807,0.5,4,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
12,7260,12300,12960,0.7924242424242425,-0.009730146289584992,-2.1971351092291638,-0.015037478992974501,0.2,5,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
13,7920,12960,13620,0.5454545454545454,0.006529988006801796,1.0376834048511936,-0.012748029645539912,0.5,2,"[np.float64(0.18999999999999992), np.float64(0.33), np.float64(0.48000000000000015)]"
14,8580,13620,14280,0.7303030303030303,-0.013446122785513034,-2.2451164791170988,-0.018334889551234194,0.16666666666666666,6,"[np.float64(0.0), np.float64(0.67), np.float64(0.32999999999999996)]"
15,9240,14280,14940,0.6909090909090909,-0.012261049339298915,-5.5769530948103085,-0.012261049339298915,0.0,2,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]"
16,9900,14940,15600,0.7696969696969697,0.007756419851221654,2.8255659128447648,-0.0050248060674614355,1.0,2,"[np.float64(0.55), np.float64(0.2), np.float64(0.24999999999999994)]"
17,10560,15600,16260,0.5803030303030303,0.07498214730054224,4.210328161172856,-0.02109539958394151,0.5454545454545454,11,"[np.float64(0.44999999999999996), np.float64(0.08999999999999996), np.float64(0.4600000000000001)]"
18,11220,16260,16920,0.4303030303030303,-0.04719527512069835,-1.8294730388190736,-0.07198139395378853,0.25,12,"[np.float64(0.0), np.float64(0.79), np.float64(0.20999999999999996)]"
19,11880,16920,17580,0.5212121212121212,0.012367876805405468,1.07380839886875,-0.019802867682405592,0.5,4,"[np.float64(0.8500000000000001), np.float64(0.1), np.float64(0.049999999999999906)]"
20,12540,17580,18240,0.4893939393939394,0.011755637121014297,0.8807851695479795,-0.03186274432859938,0.5,12,"[np.float64(0.11999999999999987), np.float64(0.8699999999999999), np.float64(0.010000000000000231)]"
21,13200,18240,18900,0.6621212121212121,0.012606213742283398,1.2488693781146256,-0.016412152737928627,0.5,6,"[np.float64(0.75), np.float64(0.0), np.float64(0.25)]"
22,13860,18900,19560,0.5015151515151515,-0.06050809023273141,-7.142495964663963,-0.06219492064894895,0.0,11,"[np.float64(0.8), np.float64(0.15000000000000002), np.float64(0.04999999999999993)]"
23,14520,19560,20220,0.3287878787878788,-0.06366751541634803,-3.1566526094743192,-0.0709645599815384,0.2727272727272727,11,"[np.float64(0.5199999999999999), np.float64(0.48), np.float64(1.1102230246251565e-16)]"
24,15180,20220,20880,0.48787878787878786,0.04072101914946143,2.39801535290441,-0.025667118235803827,0.5,14,"[np.float64(0.31999999999999984), np.float64(0.019999999999999907), np.float64(0.6600000000000003)]"
25,15840,20880,21540,0.543939393939394,-0.0192525210827489,-1.18593691949151,-0.06235267715369149,0.26666666666666666,15,"[np.float64(0.13), np.float64(0.5199999999999999), np.float64(0.3500000000000001)]"
