fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.7636363636363637,-0.0207868889435842,-1.767647575734012,-0.03846741203200157,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,0.9454545454545454,0.040698195507753915,4.130689346964714,-0.010206469001043146,1.0,1,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
4,165,585,640,0.8181818181818182,-0.03470442143762466,-2.013210000837703,-0.05152888840319593,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.8,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.25), np.float64(0.75)]"
6,275,695,750,0.9272727272727272,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,330,750,805,0.8181818181818182,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,385,805,860,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,440,860,915,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.9090909090909091,-0.014911262542058103,-0.3520852926742189,-0.06659375547791224,0.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.8727272727272727,0.017164251677526044,2.337733714132567,-0.017087326011759926,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,605,1025,1080,0.9272727272727272,-0.015457924934042239,-4.140487164472413,-0.015457924934042239,0.0,1,"[np.float64(0.0), np.float64(0.35000000000000003), np.float64(0.6499999999999999)]"
