fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights,horizon_bars,threshold
1,0,10080,11400,0.37575757575757573,0.02516099419424154,1.5078351779495278,-0.030563942449281654,0.46153846153846156,13,"[np.float64(0.74), np.float64(0.0), np.float64(0.26)]",12,0.012
2,1320,11400,12720,0.27575757575757576,-0.014585170532123083,-4.19779755505436,-0.014585170532123083,0.0,3,"[np.float64(0.7099999999999999), np.float64(0.0), np.float64(0.29000000000000015)]",12,0.012
3,2640,12720,14040,0.275,0.0,0.0,0.0,0.0,0,"[np.float64(0.8999999999999999), np.float64(0.05999999999999994), np.float64(0.04000000000000015)]",12,0.012
4,3960,14040,15360,0.20757575757575758,-0.07485989972125971,-6.684806514204469,-0.08548056321634519,0.2727272727272727,66,"[np.float64(0.41), np.float64(0.24999999999999994), np.float64(0.34000000000000014)]",12,0.012
5,5280,15360,16680,0.3143939393939394,-0.06047291627693812,-2.9805213099449714,-0.07841204639407294,0.3253012048192771,83,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
6,6600,16680,18000,0.35075757575757577,-0.014352281279652926,-1.121625908845198,-0.04693297339796915,0.36363636363636365,33,"[np.float64(0.029999999999999943), np.float64(0.0), np.float64(0.9700000000000001)]",12,0.012
7,7920,18000,19320,0.39545454545454545,-0.017393332398918573,-2.38397267167495,-0.03107106201945366,0.34782608695652173,23,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]",12,0.012
8,9240,19320,20640,0.27045454545454545,-0.09689466429295353,-7.419995469544644,-0.10266568310683603,0.23728813559322035,59,"[np.float64(0.019999999999999934), np.float64(0.96), np.float64(0.02000000000000013)]",12,0.012
9,10560,20640,21960,0.3007575757575758,-0.12007210554845005,-5.028531857013554,-0.1444369371297367,0.2222222222222222,54,"[np.float64(0.019999999999999934), np.float64(0.96), np.float64(0.02000000000000013)]",12,0.012
10,11880,21960,23280,0.25075757575757573,-0.27525876943008826,-8.393110887019217,-0.27950965864462907,0.22033898305084745,118,"[np.float64(0.31999999999999995), np.float64(0.0799999999999999), np.float64(0.6000000000000001)]",12,0.012
11,13200,23280,24600,0.3484848484848485,-0.05259803163434626,-3.0306438777156233,-0.07090454742558638,0.2619047619047619,42,"[np.float64(0.029999999999999985), np.float64(0.66), np.float64(0.30999999999999994)]",12,0.012
12,14520,24600,25920,0.3787878787878788,0.049236265905343864,1.786958812384554,-0.06177900883057264,0.4057971014492754,69,"[np.float64(0.029999999999999943), np.float64(0.5599999999999999), np.float64(0.41000000000000014)]",12,0.012
13,15840,25920,27240,0.3575757575757576,-0.030331160335944695,-1.123570992844994,-0.09351232430749369,0.3472222222222222,72,"[np.float64(0.39999999999999997), np.float64(0.36), np.float64(0.2400000000000001)]",12,0.012
14,17160,27240,28560,0.29318181818181815,0.029906282273686885,3.3819359594822287,-0.009876906826999233,0.625,8,"[np.float64(0.56), np.float64(0.1499999999999999), np.float64(0.29000000000000004)]",12,0.012
15,18480,28560,29880,0.29393939393939394,-0.02527915560481433,-1.202945448449746,-0.09482497913738873,0.32432432432432434,37,"[np.float64(0.39999999999999997), np.float64(0.019999999999999893), np.float64(0.5800000000000002)]",12,0.012
16,19800,29880,31200,0.28484848484848485,-0.02464984070946757,-3.2026869861876923,-0.02464984070946757,0.0,3,"[np.float64(0.9500000000000001), np.float64(0.0), np.float64(0.04999999999999993)]",12,0.012
17,21120,31200,32520,0.3416666666666667,0.04860777220901582,1.9214728699449932,-0.04495585429490598,0.4782608695652174,46,"[np.float64(0.41999999999999993), np.float64(0.03999999999999995), np.float64(0.5400000000000001)]",12,0.012
18,22440,32520,33840,0.30606060606060603,-0.165572809604925,-3.0112317058764404,-0.19495768884261597,0.22641509433962265,53,"[np.float64(0.7099999999999999), np.float64(0.2899999999999998), np.float64(3.3306690738754696e-16)]",12,0.012
19,23760,33840,35160,0.32045454545454544,-0.006077560595421164,-0.1384683285304799,-0.07081485094410063,0.3333333333333333,45,"[np.float64(0.15999999999999998), np.float64(0.62), np.float64(0.22000000000000008)]",12,0.012
20,25080,35160,36480,0.3303030303030303,-0.014193814341821962,-0.43708903690256434,-0.0691628312043091,0.367816091954023,87,"[np.float64(0.06999999999999994), np.float64(0.0), np.float64(0.93)]",12,0.012
21,26400,36480,37800,0.271969696969697,0.011586789403176227,2.00608815826197,-0.009233959682641093,0.6666666666666666,3,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]",12,0.012
22,27720,37800,39120,0.26212121212121214,-0.019213607942193813,-1.2780710987692387,-0.05171392361276208,0.3673469387755102,49,"[np.float64(0.13999999999999999), np.float64(0.16999999999999996), np.float64(0.6900000000000001)]",12,0.012
23,29040,39120,40440,0.26515151515151514,-0.06684489729943398,-3.1693445027899174,-0.08930396777004519,0.23529411764705882,17,"[np.float64(0.29999999999999993), np.float64(0.31), np.float64(0.39000000000000007)]",12,0.012
24,30360,40440,41760,0.2863636363636364,-0.028856963726322103,-1.3552687285511233,-0.05483030399619772,0.43157894736842106,95,"[np.float64(0.5399999999999999), np.float64(0.029999999999999902), np.float64(0.43000000000000016)]",12,0.012
