fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,10080,11400,0.25303030303030305,-0.03867495872835716,-1.305764415007048,-0.07104005587566571,0.3,40,"[np.float64(0.019999999999999934), np.float64(0.0), np.float64(0.9800000000000001)]"
2,1320,11400,12720,0.1462121212121212,0.0,0.0,0.0,0.0,0,"[np.float64(0.6099999999999999), np.float64(0.0399999999999999), np.float64(0.3500000000000002)]"
3,2640,12720,14040,0.12878787878787878,-0.04799224975875186,-3.434472418518568,-0.06265660044222482,0.3561643835616438,73,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
4,3960,14040,15360,0.3560606060606061,0.03992567799863755,2.344913926421079,-0.016903340065366347,0.5,26,"[np.float64(0.47), np.float64(0.5299999999999999), np.float64(1.1102230246251565e-16)]"
5,5280,15360,16680,0.20909090909090908,-0.10619744322370553,-7.854888120681557,-0.13089194552248307,0.24444444444444444,90,"[np.float64(0.3500000000000001), np.float64(0.15000000000000005), np.float64(0.49999999999999994)]"
6,6600,16680,18000,0.546969696969697,-0.010092461619668756,-0.5800347616403011,-0.06277900616148559,0.38461538461538464,52,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
7,7920,18000,19320,0.328030303030303,-0.05847558102917592,-4.333940408065479,-0.073229152718983,0.30434782608695654,69,"[np.float64(0.2699999999999998), np.float64(0.7299999999999999), np.float64(3.3306690738754696e-16)]"
8,9240,19320,20640,0.44772727272727275,0.0008921763482572715,0.1146066383133042,-0.03413375779315065,0.3333333333333333,21,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
9,10560,20640,21960,0.49772727272727274,-0.003944562675163433,-0.9035211609595634,-0.017951091229827215,0.2857142857142857,7,"[np.float64(0.8599999999999998), np.float64(0.12999999999999964), np.float64(0.010000000000000592)]"
10,11880,21960,23280,0.5075757575757576,-0.052774300437351485,-10.453034824844035,-0.055985186196295215,0.21739130434782608,46,"[np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
11,13200,23280,24600,0.703030303030303,-0.012182148510092883,-4.99089088095282,-0.012182148510092883,0.0,3,"[np.float64(0.35000000000000003), np.float64(0.0), np.float64(0.6499999999999999)]"
12,14520,24600,25920,0.5568181818181818,-0.06476807006279778,-9.612741404885655,-0.06476807006279778,0.16666666666666666,48,"[np.float64(0.05), np.float64(0.7000000000000001), np.float64(0.2499999999999999)]"
13,15840,25920,27240,0.39621212121212124,-0.017586185649557228,-1.826573608707471,-0.03831810156542931,0.40384615384615385,52,"[np.float64(0.0), np.float64(0.6000000000000001), np.float64(0.3999999999999999)]"
14,17160,27240,28560,0.65,0.0,0.0,0.0,0.0,0,"[np.float64(0.76), np.float64(0.09999999999999995), np.float64(0.14000000000000004)]"
15,18480,28560,29880,0.4810606060606061,-0.007232440164672517,-1.5080634496104253,-0.017896630235872707,0.42857142857142855,14,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
16,19800,29880,31200,0.865909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.1299999999999999), np.float64(0.019999999999999893), np.float64(0.8500000000000002)]"
17,21120,31200,32520,0.5401515151515152,-0.004362879240426264,0.0019387747956679528,-0.13684519993182803,0.32142857142857145,56,"[np.float64(0.5), np.float64(0.0), np.float64(0.5)]"
18,22440,32520,33840,0.5333333333333333,0.0,0.0,0.0,0.0,0,"[np.float64(0.3399999999999999), np.float64(0.0), np.float64(0.6600000000000001)]"
19,23760,33840,35160,0.44242424242424244,0.0,0.0,0.0,0.0,0,"[np.float64(0.85), np.float64(0.11999999999999983), np.float64(0.030000000000000193)]"
20,25080,35160,36480,0.17803030303030304,-0.08026286192664374,-8.089880617579798,-0.08129383872707913,0.2463768115942029,69,"[np.float64(0.3199999999999999), np.float64(0.4899999999999998), np.float64(0.19000000000000034)]"
21,26400,36480,37800,0.16818181818181818,-0.06165643836261825,-6.518455444246049,-0.06735056238807173,0.3229166666666667,96,"[np.float64(0.00999999999999994), np.float64(0.99), np.float64(1.1102230246251565e-16)]"
22,27720,37800,39120,0.3143939393939394,-0.09934068612625852,-9.20123487929001,-0.10101969907992227,0.26595744680851063,94,"[np.float64(0.8999999999999999), np.float64(0.09999999999999987), np.float64(2.220446049250313e-16)]"
23,29040,39120,40440,0.4666666666666667,-0.010161196330035455,-7.8766638987897615,-0.010662754107875901,0.14285714285714285,7,"[np.float64(0.0), np.float64(0.23000000000000004), np.float64(0.77)]"
24,30360,40440,41760,0.38106060606060604,-0.03370408102605361,-5.8737670249107845,-0.03633545868379501,0.2702702702702703,37,"[np.float64(0.5099999999999999), np.float64(0.39999999999999997), np.float64(0.09000000000000014)]"
