fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,420,475,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
2,55,475,530,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,110,530,585,0.9818181818181818,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
4,165,585,640,0.8,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,220,640,695,0.8545454545454545,-0.019949472200692254,-2.1185556054168515,-0.025561451162081684,0.0,1,"[np.float64(0.8500000000000001), np.float64(0.1), np.float64(0.049999999999999906)]"
6,275,695,750,0.9090909090909091,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.25), np.float64(0.75)]"
7,330,750,805,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,385,805,860,0.9454545454545454,0.026404066576469994,4.495666763616116,0.0,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
9,440,860,915,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
10,495,915,970,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
11,550,970,1025,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
12,605,1025,1080,0.9636363636363636,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
