symbol,timeframe,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,max_conf,pct_pred_down,pct_pred_neutral,pct_pred_up,status,elapsed_s
INJ/USD,4h,9,10750,6450,2150,2150,1111,4070,1269,211,12,59,0.4237,0.1468,0.988,-0.0948,0.3728,0.5994,0.059,0.558,0.384,** STRONG,37.2
LINK/USD,4h,9,10750,6450,2150,2150,942,4460,1048,126,40,50,0.38,0.0295,0.372,-0.1069,0.3409,0.5844,0.106,0.654,0.24,+ MARGINAL,35.5
DOGE/USD,4h,9,10750,6450,2150,2150,795,4834,821,12,190,50,0.4,0.0544,0.533,-0.0829,0.3575,0.5896,0.282,0.698,0.02,* GOOD,33.5
OP/USD,4h,9,8033,4819,1607,1607,766,3261,792,188,0,53,0.3396,-0.0711,-0.661,-0.1604,0.395,0.6578,0.08,0.319,0.6,- LOSS,26.1
ARB/USD,4h,9,6262,3757,1252,1253,487,2792,478,133,1,32,0.1562,-0.166,-2.104,-0.1838,0.3879,0.6276,0.065,0.467,0.468,- LOSS,19.5
BTC/USD,4h,9,10750,6450,2150,2150,461,5454,535,0,77,30,0.2,-0.0569,-1.394,-0.0731,0.3049,0.4435,0.006,0.994,0.0,- LOSS,32.8
ETH/USD,4h,9,10750,6450,2150,2150,644,5043,763,40,0,13,0.3077,-0.024,-0.404,-0.0866,0.2558,0.5327,0.005,0.956,0.039,- LOSS,32.5
SOL/USD,4h,9,10750,6450,2150,2150,1034,4193,1223,185,0,48,0.4375,0.0627,0.716,-0.0642,0.3556,0.6201,0.091,0.569,0.34,* GOOD,33.8
ADA/USD,4h,9,10750,6450,2150,2150,784,4853,813,111,4,33,0.3939,0.037,0.389,-0.0989,0.3115,0.5943,0.051,0.762,0.187,+ MARGINAL,32.4
DOT/USD,4h,9,10750,6450,2150,2150,900,4673,877,57,0,17,0.3529,0.0039,0.094,-0.0876,0.2508,0.5528,0.002,0.915,0.082,+ MARGINAL,32.4
AVAX/USD,4h,9,10750,6450,2150,2150,1042,4249,1159,153,9,56,0.2679,-0.1509,-1.487,-0.1709,0.3384,0.5412,0.044,0.709,0.247,- LOSS,31.8
XRP/USD,4h,9,10750,6450,2150,2150,695,5064,691,37,104,45,0.3333,-0.0726,-0.62,-0.1448,0.3364,0.4999,0.066,0.887,0.047,- LOSS,31.8
LTC/USD,4h,9,10750,6450,2150,2150,748,4971,731,4,24,9,0.5556,0.0455,0.977,-0.0253,0.2498,0.4978,0.025,0.967,0.007,* GOOD,31.8
MATIC/USD,4h,9,7506,4503,1501,1502,776,2884,843,107,20,35,0.4,0.0711,0.978,-0.1182,0.3524,0.6107,0.087,0.616,0.298,* GOOD,29.6
TRX/USD,4h,9,10750,6450,2150,2150,493,5471,486,0,0,0,0.0,0.0,0.0,0.0,0.1365,0.2457,0.0,1.0,0.0,TOO_FEW_TRADES,32.3
FIL/USD,4h,9,10750,6450,2150,2150,987,4607,856,37,17,16,0.3125,0.0711,0.577,-0.141,0.2704,0.5582,0.012,0.95,0.038,~ WEAK+,31.3
RUNE/USD,4h,9,10750,6450,2150,2150,1242,3875,1333,65,5,22,0.3182,-0.0367,-0.42,-0.0911,0.3025,0.5264,0.03,0.865,0.105,- LOSS,32.0
ETC/USD,4h,9,10750,6450,2150,2150,824,4799,827,24,4,12,0.75,0.1309,2.527,-0.0204,0.226,0.4859,0.009,0.971,0.02,** STRONG,32.9
BCH/USD,4h,9,10750,6450,2150,2150,711,5005,734,73,64,40,0.125,-0.1826,-3.113,-0.2032,0.325,0.5074,0.096,0.818,0.087,- LOSS,33.1
