symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,ann_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
BTC/USD,1h,crypto,9,9272,5563,1854,1855,752,3949,862,180,6,36,0.3056,-0.053,-0.2269,-3.613,-0.0707,0.4518,- LOSS,147.1
BTC/USD,4h,crypto,9,4561,2736,912,913,146,2375,215,18,0,8,0.25,-0.0234,-0.0551,-1.126,-0.0424,0.1664,- LOSS,78.3
BTC/USD,12h,crypto,9,1260,756,252,252,8,731,17,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0135,TOO_FEW_TRADES,42.2
BTC/USD,1d,crypto,9,959,575,192,192,3,563,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,61.0
BTC/USD,1w,crypto,9,332,199,66,67,7,182,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061,TOO_FEW_TRADES,11.1
ETH/USD,1h,crypto,9,9272,5563,1854,1855,1331,2769,1463,213,53,45,0.4,-0.0309,-0.1378,-1.604,-0.0606,0.5898,- LOSS,145.3
ETH/USD,4h,crypto,9,4561,2736,912,913,263,2221,252,33,17,18,0.3889,-0.0277,-0.0652,-0.852,-0.0702,0.2965,- LOSS,73.8
ETH/USD,12h,crypto,9,1261,756,252,253,33,704,19,0,10,2,0.5,0.0099,0.029,3.912,-0.0118,0.2188,TOO_FEW_TRADES,33.3
ETH/USD,1d,crypto,9,960,576,192,192,8,560,8,0,1,1,1.0,0.0296,0.057,1.874,-0.0062,0.0662,TOO_FEW_TRADES,21.6
ETH/USD,1w,crypto,9,332,199,66,67,12,174,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0162,TOO_FEW_TRADES,11.3
SOL/USD,1h,crypto,9,9272,5563,1854,1855,1616,2273,1674,269,0,42,0.3571,-0.0362,-0.1597,-1.61,-0.0811,0.7226,- LOSS,145.2
SOL/USD,4h,crypto,9,4561,2736,912,913,370,1928,438,67,16,20,0.25,-0.0676,-0.1546,-1.747,-0.101,0.3591,- LOSS,73.8
SOL/USD,12h,crypto,9,1261,756,252,253,43,665,48,0,4,2,1.0,0.0407,0.1221,5.078,-0.0247,0.1922,TOO_FEW_TRADES,33.3
SOL/USD,1d,crypto,9,960,576,192,192,9,537,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0772,TOO_FEW_TRADES,21.1
XRP/USD,1h,crypto,9,9272,5563,1854,1855,1435,2711,1417,268,0,38,0.3947,-0.0124,-0.0572,-0.425,-0.0599,0.6608,- LOSS,145.0
XRP/USD,4h,crypto,9,4561,2736,912,913,261,2134,341,46,2,12,0.25,-0.017,-0.0402,-0.325,-0.0821,0.3068,- LOSS,73.5
XRP/USD,12h,crypto,9,1261,756,252,253,37,672,47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1426,TOO_FEW_TRADES,33.0
XRP/USD,1d,crypto,9,960,576,192,192,12,546,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.059,TOO_FEW_TRADES,21.1
ADA/USD,1h,crypto,9,9272,5563,1854,1855,1676,2350,1537,225,40,40,0.225,-0.0751,-0.3085,-3.644,-0.1029,0.5095,- LOSS,144.9
ADA/USD,4h,crypto,9,4561,2736,912,913,346,2012,378,48,0,15,0.2,-0.0551,-0.1271,-1.91,-0.0738,0.3028,- LOSS,73.8
ADA/USD,12h,crypto,9,1261,756,252,253,37,672,47,3,0,2,0.5,0.0193,0.0567,4.158,-0.0194,0.159,TOO_FEW_TRADES,33.1
ADA/USD,1d,crypto,9,960,576,192,192,11,549,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0151,TOO_FEW_TRADES,20.6
AVAX/USD,1h,crypto,9,9271,5562,1854,1855,1808,2017,1737,270,0,43,0.2558,-0.0825,-0.334,-1.883,-0.1087,0.6842,- LOSS,144.9
AVAX/USD,4h,crypto,9,4561,2736,912,913,417,1865,454,58,61,29,0.2069,-0.0822,-0.1859,-2.205,-0.0978,0.3764,- LOSS,73.6
AVAX/USD,12h,crypto,9,1261,756,252,253,47,661,48,9,0,2,0.0,-0.0553,-0.1514,-3.17,-0.0927,0.2335,TOO_FEW_TRADES,33.5
AVAX/USD,1d,crypto,9,960,576,192,192,14,535,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0716,TOO_FEW_TRADES,20.8
DOT/USD,1h,crypto,9,9271,5562,1854,1855,1696,2294,1572,260,10,38,0.2632,-0.033,-0.1464,-1.652,-0.0673,0.598,- LOSS,173.7
DOT/USD,4h,crypto,9,4561,2736,912,913,344,2070,322,4,17,4,0.25,-0.0187,-0.0443,-0.699,-0.0447,0.2668,TOO_FEW_TRADES,95.7
DOT/USD,12h,crypto,9,1261,756,252,253,42,677,37,1,0,0,0.0,0.0,0.0,0.0,0.0,0.1322,TOO_FEW_TRADES,39.2
DOT/USD,1d,crypto,9,960,576,192,192,12,549,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0433,TOO_FEW_TRADES,25.4
