symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,calmar,max_drawdown,status,elapsed_s
BTC/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,2140,4367,2650,5,0.5317,-0.0,0.0282,0.259,-0.237,3.733,-0.015,TOO_FEW_TRADES,403.6
BTC/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,1432,6448,1392,6,0.2476,-0.0265,-0.2057,0.2789,-3.717,-1.917,-0.0459,TOO_FEW_TRADES,389.6
BTC/USD,4h,crypto,9,4568,3,1,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,217,4074,277,0,0.3333,0.002,0.0117,0.0501,0.181,4.995,-0.0052,TOO_FEW_TRADES,192.2
BTC/USD,12h,crypto,9,1260,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,12,1228,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,72.4
BTC/USD,1d,crypto,9,960,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,6,942,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,79.0
ETH/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,2878,2779,3500,4,0.3444,-0.0119,-0.1944,0.2134,-4.714,-6.07,-0.0238,TOO_FEW_TRADES,370.3
ETH/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2268,4779,2225,11,0.3163,-0.009,-0.05,0.3075,-1.162,-0.103,-0.0379,TOO_FEW_TRADES,380.1
ETH/USD,4h,crypto,9,4568,3,1,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,454,3646,468,3,0.2778,-0.0099,-0.0501,0.0638,-0.868,-0.913,-0.0308,TOO_FEW_TRADES,182.6
ETH/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,46,1174,41,0,0.3333,0.0048,0.032,0.0452,1.246,12.273,-0.0009,TOO_FEW_TRADES,76.9
ETH/USD,1d,crypto,9,961,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,19,921,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,53.1
SOL/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3315,2058,3784,4,0.3167,-0.0079,-0.1117,0.2928,-1.925,-3.221,-0.023,TOO_FEW_TRADES,487.6
SOL/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2701,4021,2550,11,0.3953,0.0033,0.0728,0.305,0.367,5.193,-0.0409,TOO_FEW_TRADES,501.4
SOL/USD,4h,crypto,9,4568,3,2,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,614,3293,661,9,0.3981,0.0046,0.0255,0.045,0.278,0.946,-0.0277,+ MARGINAL,250.6
SOL/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,58,1140,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,82.5
SOL/USD,1d,crypto,9,961,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,19,899,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,50.5
XRP/USD,30m,crypto,9,9157,3,2,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3072,2806,3279,4,0.4111,0.0066,0.1606,0.1493,1.385,10.247,-0.0204,TOO_FEW_TRADES,515.2
XRP/USD,1h,crypto,9,9272,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2390,4744,2138,10,0.4878,0.0185,0.2778,0.3977,1.799,9.809,-0.035,TOO_FEW_TRADES,503.9
XRP/USD,4h,crypto,9,4568,3,0,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,442,3594,532,8,0.3135,-0.0064,-0.0336,0.0155,-0.578,-1.177,-0.0317,- LOSS,252.0
XRP/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,46,1150,65,0,0.3333,0.003,0.0198,0.0279,0.704,3.182,-0.0021,TOO_FEW_TRADES,85.4
XRP/USD,1d,crypto,9,961,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,19,912,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,50.4
ADA/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3578,2119,3460,6,0.3611,0.0004,0.0866,0.4241,-0.83,3.507,-0.0304,TOO_FEW_TRADES,492.0
ADA/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2898,4033,2341,10,0.4163,-0.0091,0.061,0.6258,-0.575,11.805,-0.048,TOO_FEW_TRADES,502.8
ADA/USD,4h,crypto,9,4568,3,1,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,598,3377,593,9,0.2641,-0.0118,-0.0385,0.2408,-0.911,1.247,-0.0407,- LOSS,249.7
ADA/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,54,1133,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,82.3
ADA/USD,1d,crypto,9,961,3,1,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,20,909,32,0,0.3333,0.0096,0.0426,0.0603,0.974,9.27,-0.0015,TOO_FEW_TRADES,52.0
AVAX/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3544,1864,3749,9,0.3286,-0.0115,-0.1845,0.2507,-1.942,-3.195,-0.0384,TOO_FEW_TRADES,490.5
AVAX/USD,1h,crypto,9,9271,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2885,3773,2613,9,0.2398,-0.0313,-0.2461,0.2581,-2.472,-3.116,-0.0554,TOO_FEW_TRADES,503.8
AVAX/USD,4h,crypto,9,4568,3,2,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,685,3192,691,10,0.4417,0.0165,0.093,0.0714,1.119,2.711,-0.0346,+ MARGINAL,250.0
AVAX/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,71,1110,80,0,0.0,-0.0027,-0.0173,0.0245,-1.114,-2.106,-0.0027,TOO_FEW_TRADES,84.7
AVAX/USD,1d,crypto,9,961,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,28,887,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,52.3
DOT/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3517,1994,3646,4,0.2444,-0.0111,-0.1656,0.2579,-2.625,-3.575,-0.0297,TOO_FEW_TRADES,491.8
DOT/USD,1h,crypto,9,9271,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2857,4028,2386,10,0.2667,-0.0226,-0.2096,0.0839,-1.946,-4.07,-0.0505,TOO_FEW_TRADES,505.0
