symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,kelly_pct,status,elapsed_s
AVAX/USD,1h,crypto,9,9271,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2886,3789,2596,15,0.2483,-0.0162,-0.0418,0.018,-1.291,-0.865,-1.861,-0.0216,0.608,0.719,1.84,55.9088,-30.466,6,0.3241,0.2315,6,9,mixed,38.8,3.0,- LOSS,394.2
AVAX/USD,4h,crypto,9,4577,3,1,2025-06-06→2025-08-13 | 2025-08-14→2025-10-21 | 2025-10-21→2025-12-29,686,3200,691,5,0.3762,-0.0023,-0.0119,0.0236,-0.413,-0.257,-0.928,-0.01,0.838,0.421,1.259,31.8405,-28.0545,3,0.3333,0.5278,1,4,range-only(53%),52.3,3.0,TOO_FEW_TRADES,189.8
AVAX/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,71,1110,80,1,0.0,-0.0041,-0.0745,0.0639,-3.035,-1.728,-9.51,-0.0065,0.0,inf,inf,0.0,-40.7102,1,0.0,0.0,0,0,insufficient,25.7,3.0,TOO_FEW_TRADES,67.0
XLM/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2688,4448,2136,12,0.3616,-0.0051,-0.0123,0.0608,-0.282,-0.035,1.732,-0.0167,1.319,1.924,1.478,38.0551,-27.214,5,0.2667,0.4593,6,7,mixed,53.3,3.0,TOO_FEW_TRADES,380.5
XLM/USD,4h,crypto,9,4577,3,2,2025-06-06→2025-08-13 | 2025-08-14→2025-10-21 | 2025-10-21→2025-12-29,469,3630,478,5,0.4444,0.002,0.0109,0.0339,0.588,0.313,2.706,-0.008,1.808,0.913,1.946,38.7635,-21.8527,3,0.4444,0.25,3,3,mixed,65.9,4.0,TOO_FEW_TRADES,190.1
XLM/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,42,1150,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,66.3
ALGO/USD,1h,crypto,9,9272,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3055,3781,2436,12,0.3038,-0.01,-0.026,0.0164,-0.727,-0.455,-1.23,-0.0186,0.762,0.473,1.807,60.618,-32.4595,6,0.3148,0.2083,7,5,mixed,42.9,3.0,TOO_FEW_TRADES,380.1
ALGO/USD,4h,crypto,9,4577,3,3,2025-06-06→2025-08-13 | 2025-08-14→2025-10-21 | 2025-10-21→2025-12-29,706,3188,683,4,0.6111,0.0032,0.0173,0.0118,0.864,0.404,2.854,-0.0085,3100544021.701,0.533,inf,47.7752,-16.2517,3,0.1429,0.5,2,2,insufficient,76.5,3.0,TOO_FEW_TRADES,189.1
ALGO/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,72,1108,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,65.9
TIA/USD,1h,crypto,9,9271,3,3,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3320,3371,2580,11,0.4167,0.02,0.0536,0.0301,1.272,0.931,2.746,-0.0182,2.197,1.027,3.488,89.4175,-30.8115,8,0.5333,0.3254,6,6,trend-following,77.2,6.2,TOO_FEW_TRADES,379.8
TIA/USD,4h,crypto,9,4577,3,2,2025-06-06→2025-08-13 | 2025-08-14→2025-10-21 | 2025-10-21→2025-12-29,950,2873,754,5,0.4127,0.0089,0.0505,0.0722,1.448,1.161,8.906,-0.012,2.664,1.616,2.834,78.9482,-31.8766,3,0.4444,0.3611,2,3,range-only(36%),70.7,5.1,TOO_FEW_TRADES,189.3
TIA/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,112,1044,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,-0.4988,1,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,71.8
BONK/USD,1h,crypto,9,9271,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3355,3132,2784,10,0.3218,-0.0067,-0.0166,0.0527,-0.223,0.024,0.696,-0.0206,1.375,0.956,2.481,79.8891,-34.194,5,0.5909,0.2083,5,6,trend-following,52.4,3.0,TOO_FEW_TRADES,471.4
BONK/USD,4h,crypto,9,4577,3,2,2025-06-06→2025-08-13 | 2025-08-14→2025-10-21 | 2025-10-21→2025-12-29,967,2706,904,6,0.4345,0.0062,0.0338,0.032,0.781,0.635,3.571,-0.0112,1.505,0.741,2.082,73.3459,-38.6642,2,0.3095,0.4444,4,2,trend-only(31%),67.5,4.1,TOO_FEW_TRADES,233.7
BONK/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,123,1006,132,1,0.1667,0.0003,0.0079,0.0745,-0.831,-4.583,1.059,-0.0037,0.681,inf,inf,33.7044,-30.4769,1,0.3333,0.0,0,1,insufficient,46.2,3.0,TOO_FEW_TRADES,78.0
ENS/USD,1h,crypto,9,8562,3,1,2025-09-13→2025-10-17 | 2025-10-17→2025-11-20 | 2025-11-20→2025-12-23,2780,3355,2427,12,0.3286,-0.0011,-0.0029,0.0194,-0.009,-0.018,0.249,-0.0206,0.87,0.388,1.542,41.8492,-24.4286,4,0.2818,0.2833,7,5,mixed,54.2,3.0,TOO_FEW_TRADES,439.0
ENS/USD,4h,crypto,9,4570,3,1,2025-06-07→2025-08-14 | 2025-08-14→2025-10-21 | 2025-10-22→2025-12-29,766,3105,699,7,0.4619,-0.0033,-0.0163,0.0551,-0.568,-0.241,-0.234,-0.0159,33115977435.267,0.607,inf,51.0491,-17.5411,8,0.375,0.4286,3,4,mixed,52.9,3.0,TOO_FEW_TRADES,234.4
ENS/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,77,1085,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,79.5
