symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
XRP/USD,1d,crypto,9,1726,6,4,2025-01-06→2025-03-23 | 2025-03-24→2025-06-08 | 2025-06-09→2025-08-24 | 2025-08-25→2025-11-09 | 2025-11-10→2026-01-25 | 2026-01-26→2026-04-12,141,1434,151,1,0.6667,0.0025,0.0753,0.078,2.473,1.762,24.753,-0.0025,24412208830.071,inf,inf,24.4122,0.0,0,0.5,0.1667,0,0,insufficient,78.8,0.0625,3.0,TOO_FEW_TRADES,468.2
LINK/USD,1d,crypto,9,1729,6,3,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,199,1325,205,1,0.5833,0.0032,0.0998,0.1177,3.067,1.357,4477.815,-0.003,31778769310.74,inf,inf,41.0924,-9.5767,1,0.4167,0.1667,1,0,insufficient,76.1,0.125,3.0,TOO_FEW_TRADES,472.6
AAVE/USD,4h,crypto,9,4797,6,4,2025-09-10→2025-10-15 | 2025-10-16→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,902,2941,954,4,0.4,0.0024,0.0255,0.0408,1.148,0.96,7.298,-0.0054,1.864,0.943,1.813,31.6557,-18.3858,3,0.3889,0.0667,3,1,trend-only(39%),68.3,0.1094,3.0,TOO_FEW_TRADES,1202.8
EOS/USD,4h,crypto,9,3080,6,4,2025-02-13→2025-03-07 | 2025-03-08→2025-03-30 | 2025-03-31→2025-04-22 | 2025-04-23→2025-05-15 | 2025-05-16→2025-06-07 | 2025-06-08→2025-06-30,548,2019,513,2,0.5972,-0.0004,-0.0036,0.0774,0.786,0.996,16.48,-0.0053,18572365096.639,1.457,inf,17.8276,-12.912,3,0.625,0.1667,2,0,insufficient,68.2,0.5781,3.0,TOO_FEW_TRADES,704.8
ALGO/USD,1d,crypto,9,1729,6,3,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,215,1310,204,0,0.5,0.0021,0.0634,0.0645,1.528,1.472,14.73,-0.0023,20812763572.403,inf,inf,20.8128,0.0,0,0.3333,0.1667,0,0,insufficient,67.8,0.125,3.0,TOO_FEW_TRADES,454.6
XTZ/USD,1d,crypto,9,1729,6,3,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,190,1372,167,1,0.3889,0.0019,0.0626,0.1221,1.531,0.82,45634742.631,-0.0027,22105982835.425,inf,inf,33.4613,-12.4105,2,0.3889,0.0,1,0,insufficient,66.8,0.1875,3.0,TOO_FEW_TRADES,486.4
DOT/USD,4h,crypto,9,4796,6,4,2025-09-10→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,816,3247,733,6,0.4982,0.0009,0.0101,0.0413,0.455,0.721,5.919,-0.0057,7190376292.748,0.802,inf,29.7674,-15.5874,6,0.4968,0.3333,5,1,trend-only(50%),66.4,0.2812,3.0,+ MARGINAL,1149.2
XTZ/USD,4h,crypto,9,4797,6,4,2025-09-10→2025-10-15 | 2025-10-16→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,787,3304,706,4,0.4056,0.0009,0.0088,0.0169,0.424,0.299,2.351,-0.0065,1.348,0.401,1.85,34.6024,-18.426,3,0.3917,0.3333,4,1,trend-only(39%),64.2,0.1562,3.0,TOO_FEW_TRADES,1168.1
XLM/USD,4h,crypto,9,4796,6,3,2025-09-10→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,699,3439,658,4,0.5069,0.0008,0.0081,0.0284,0.137,0.594,6.837,-0.0045,3315511319.363,0.998,inf,20.848,-14.4842,3,0.4444,0.2667,2,2,insufficient,61.2,0.3438,3.0,TOO_FEW_TRADES,1119.6
ETH/USD,4h,crypto,9,4795,6,4,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-12,636,3509,650,6,0.3528,-0.0002,-0.0022,0.0144,-0.07,-0.061,-0.177,-0.0052,1.011,0.259,2.195,23.1396,-13.1161,5,0.2764,0.2278,4,2,trend-only(28%),61.0,0.5781,3.0,- LOSS,953.0
ETH/USD,1d,crypto,9,1728,6,2,2025-01-06→2025-03-23 | 2025-03-24→2025-06-08 | 2025-06-09→2025-08-24 | 2025-08-25→2025-11-09 | 2025-11-10→2026-01-25 | 2026-01-26→2026-04-12,137,1443,148,0,0.25,0.0017,0.0537,0.081,1.573,6.277,53.814,-0.0008,11287426319.352,inf,inf,21.7564,-4.0318,1,0.0833,0.1667,0,0,insufficient,60.3,0.25,3.0,TOO_FEW_TRADES,433.3
AVAX/USD,4h,crypto,9,4796,6,3,2025-09-10→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,951,2926,919,5,0.4597,-0.0009,-0.0045,0.0964,0.139,0.124,5.589,-0.0071,5971951867.838,0.89,inf,26.804,-14.6294,10,0.5278,0.0833,4,2,trend-only(53%),60.1,0.4219,3.0,- LOSS,1140.5
ALGO/USD,4h,crypto,9,4797,6,3,2025-09-10→2025-10-15 | 2025-10-16→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,960,2960,877,7,0.3656,0.0007,0.0081,0.0551,0.247,0.06,5.025,-0.0076,1.415,0.954,2.39,39.1745,-17.4745,4,0.3275,0.2917,6,2,trend-only(33%),59.8,0.6562,3.0,+ MARGINAL,1083.0
BCH/USD,1d,crypto,9,1727,6,2,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,148,1414,165,1,0.3333,0.0015,0.0479,0.0989,0.863,-0.283,40621343.33,-0.0018,18607714106.976,inf,inf,18.6077,-3.7491,1,0.1667,0.1667,0,0,insufficient,58.8,0.3125,3.0,TOO_FEW_TRADES,484.9
UNI/USD,1d,crypto,9,1729,6,2,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,217,1302,210,0,0.25,0.0015,0.0469,0.0714,1.116,0.669,11.296,-0.0018,9991081704.264,inf,inf,23.279,-7.9283,1,0.0833,0.1667,0,0,insufficient,57.8,0.25,3.0,TOO_FEW_TRADES,446.4
INJ/USD,4h,crypto,9,4795,6,3,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-12,1117,2674,1004,2,0.4222,-0.0011,-0.0104,0.033,-0.09,0.008,3.818,-0.0057,4903840678.744,inf,inf,27.9231,-13.0086,3,0.0972,0.3333,2,1,insufficient,57.4,0.6875,3.0,TOO_FEW_TRADES,829.6
XLM/USD,1d,crypto,9,1729,6,3,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,142,1427,160,1,0.4167,0.0003,0.0151,0.1069,-0.308,-0.025,8.751,-0.0036,13569021149.256,inf,inf,25.0733,-21.7512,1,0.4167,0.0,1,0,insufficient,56.6,0.5938,3.0,TOO_FEW_TRADES,462.0
