symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
XLM/USD,4h,crypto,9,4802,6,3,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,699,3443,660,1,0.5,0.001,0.0106,0.0159,1.523,1.101,18.646,-0.0016,10093013193.689,inf,inf,14.4263,-6.0995,1,0.1667,0.3333,1,0,insufficient,67.1,0.125,3.0,TOO_FEW_TRADES,1135.5
ALGO/USD,4h,crypto,9,4803,6,3,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,961,2962,880,2,0.4583,0.0018,0.0189,0.0366,1.373,0.843,3801782.531,-0.0027,18590858062.034,inf,inf,23.5925,-9.4354,3,0.125,0.3333,1,1,insufficient,66.4,0.1562,3.0,TOO_FEW_TRADES,1093.4
SNX/USD,4h,crypto,9,4802,6,4,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1168,2648,986,2,0.3194,0.0015,0.016,0.0206,0.999,0.604,4.511,-0.0054,1.624,inf,inf,46.5273,-18.5848,2,0.3194,0.0,2,0,insufficient,65.3,0.0625,3.0,TOO_FEW_TRADES,1152.0
AAVE/USD,1d,crypto,9,1730,6,2,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,220,1281,229,0,0.3333,0.0028,0.0925,0.1589,1.741,2.584,39.953,-0.0015,31917976776.182,inf,inf,31.918,-4.0766,1,0.3333,0.0,0,0,insufficient,63.7,0.25,3.0,TOO_FEW_TRADES,487.4
RUNE/USD,4h,crypto,9,4804,6,3,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1062,2788,954,3,0.4333,0.0001,0.0013,0.0335,0.551,1.192,13.809,-0.0038,3004951591.541,1.848,inf,16.1582,-12.4167,3,0.4167,0.3333,2,1,insufficient,61.6,0.5,3.0,TOO_FEW_TRADES,1198.6
DOT/USD,4h,crypto,9,4802,6,3,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,818,3251,733,2,0.4306,0.001,0.0111,0.0326,0.534,1.173,7.368,-0.0025,4369683381.667,inf,inf,16.3402,-11.8506,2,0.25,0.3333,2,0,insufficient,61.5,0.3125,3.0,TOO_FEW_TRADES,1136.8
ALGO/USD,1d,crypto,9,1730,6,2,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,215,1310,205,0,0.3333,0.0017,0.0533,0.091,1.36,1.06,13.827,-0.0016,17099988050.191,inf,inf,17.1,0.0,0,0.1667,0.1667,0,0,insufficient,60.6,0.25,3.0,TOO_FEW_TRADES,446.8
UNI/USD,4h,crypto,9,4803,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,952,2943,908,2,0.5,0.0003,0.003,0.0218,0.682,0.265,4.907,-0.0028,10088332654.989,inf,inf,15.2131,-9.5671,1,0.5,0.0,2,0,insufficient,59.8,0.5,3.0,TOO_FEW_TRADES,1080.9
DASH/USD,4h,crypto,9,4801,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,892,3112,797,3,0.2579,0.0108,0.1631,0.4064,0.442,0.582,14.645,-0.0097,3.375,inf,inf,55.5347,-26.9181,3,0.3482,0.0,3,0,trend-only(35%),59.6,0.5625,3.0,TOO_FEW_TRADES,986.4
LINK/USD,4h,crypto,9,4802,6,2,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,863,3068,871,2,0.3889,0.0013,0.0144,0.0438,0.337,0.673,10.321,-0.0018,21368425553.436,inf,inf,14.1288,-5.236,2,0.3889,0.1667,1,1,insufficient,56.6,0.4375,3.0,TOO_FEW_TRADES,1124.6
LINK/USD,1d,crypto,9,1730,6,2,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,199,1325,206,0,0.3333,0.0006,0.0168,0.0349,0.676,0.538,7.936,-0.0017,5505686791.582,inf,inf,5.5057,0.0,0,0.1667,0.1667,0,0,insufficient,56.0,0.25,3.0,TOO_FEW_TRADES,480.1
