symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
ALGO/USD,1d,crypto,9,1730,6,3,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,215,1310,205,0,0.5,0.0033,0.1043,0.1222,2.761,4.625,48.291,-0.0018,33036885876.785,inf,inf,33.0369,0.0,0,0.1667,0.3333,0,0,insufficient,74.0,0.125,3.0,TOO_FEW_TRADES,288.8
XLM/USD,4h,crypto,9,4802,6,3,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,699,3443,660,1,0.5,0.001,0.0106,0.0159,1.523,1.101,18.646,-0.0016,10093013193.689,inf,inf,14.4263,-6.0995,1,0.1667,0.3333,1,0,insufficient,67.1,0.125,3.0,TOO_FEW_TRADES,59.1
COMP/USD,1h,crypto,9,16408,6,4,2025-07-15→2025-08-15 | 2025-08-15→2025-09-16 | 2025-09-16→2025-10-19 | 2025-10-19→2025-11-21 | 2025-11-21→2025-12-23 | 2025-12-23→2026-04-15,5474,5790,5144,3,0.4278,0.0022,0.0067,0.0077,0.914,0.42,4.236,-0.0011,12128044548.796,inf,inf,13.5705,-2.4275,2,0.25,0.3333,1,2,insufficient,66.9,0.0625,3.0,TOO_FEW_TRADES,3128.2
ALGO/USD,4h,crypto,9,4803,6,3,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,961,2962,880,2,0.4583,0.0018,0.0189,0.0366,1.373,0.843,3801782.531,-0.0027,18590858062.034,inf,inf,23.5925,-9.4354,3,0.125,0.3333,1,1,insufficient,66.4,0.1562,3.0,TOO_FEW_TRADES,43.5
SNX/USD,4h,crypto,9,4802,6,4,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1168,2648,986,2,0.3194,0.0015,0.016,0.0206,0.999,0.604,4.511,-0.0054,1.624,inf,inf,46.5273,-18.5848,2,0.3194,0.0,2,0,insufficient,65.3,0.0625,3.0,TOO_FEW_TRADES,49.3
CRV/USD,1h,crypto,9,17787,6,3,2025-07-14→2025-08-17 | 2025-08-17→2025-09-19 | 2025-09-19→2025-10-22 | 2025-10-22→2025-11-25 | 2025-11-25→2025-12-28 | 2025-12-28→2026-04-15,6269,5484,6034,4,0.43,0.002,0.0055,0.0094,0.54,0.347,1.519,-0.0032,1.623,inf,inf,16.5208,-12.1893,3,0.4306,0.4833,3,2,trend-only(43%),61.9,0.1562,3.0,TOO_FEW_TRADES,3857.5
RUNE/USD,4h,crypto,9,4804,6,3,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1062,2788,954,3,0.4333,0.0001,0.0013,0.0335,0.551,1.192,13.809,-0.0038,3004951591.541,1.848,inf,16.1582,-12.4167,3,0.4167,0.3333,2,1,insufficient,61.6,0.5,3.0,+ MARGINAL,58.8
DOT/USD,4h,crypto,9,4802,6,3,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,818,3251,733,2,0.4306,0.001,0.0111,0.0326,0.534,1.173,7.368,-0.0025,4369683381.667,inf,inf,16.3402,-11.8506,2,0.25,0.3333,2,0,insufficient,61.5,0.3125,3.0,TOO_FEW_TRADES,57.9
LTC/USD,1h,crypto,9,18018,6,3,2025-07-12→2025-08-14 | 2025-08-14→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-15,4786,8214,5018,4,0.288,0.0017,0.0045,0.0055,0.673,0.443,1.698,-0.0015,1.011,inf,inf,7.346,-4.845,2,0.3202,0.25,3,1,trend-only(32%),60.3,0.125,3.0,TOO_FEW_TRADES,4115.9
UNI/USD,4h,crypto,9,4803,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,952,2943,908,2,0.5,0.0003,0.003,0.0218,0.682,0.265,4.907,-0.0028,10088332654.989,inf,inf,15.2131,-9.5671,1,0.5,0.0,2,0,insufficient,59.8,0.5,3.0,TOO_FEW_TRADES,41.4
ADA/USD,1h,crypto,9,18018,6,3,2025-07-12→2025-08-14 | 2025-08-15→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-14,5979,6745,5294,9,0.3658,0.0005,0.0013,0.0068,0.106,0.035,1.132,-0.0039,1.601,inf,inf,14.1027,-8.0708,8,0.3167,0.3545,6,3,mixed,59.4,0.3125,3.0,+ MARGINAL,4181.8
