symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
XLM/USD,1d,crypto,9,1732,6,3,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,460,903,369,4,0.5079,0.002,0.1989,0.675,1.432,2.92,71.131,-0.0106,18783203385.541,2.29,inf,40.134,-24.6837,5,0.3524,0.1667,3,0,trend-only(35%),73.4,0.5,3.0,+ MARGINAL,12.8
UNI/USD,4h,crypto,9,4819,6,4,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-24→2025-12-29 | 2025-12-30→2026-02-03 | 2026-02-04→2026-03-11 | 2026-03-12→2026-04-16,952,2953,914,6,0.4185,0.0011,0.0138,0.081,0.145,0.312,4.315,-0.0081,1.524,0.835,1.627,30.4996,-19.2725,5,0.4913,0.0,5,1,trend-only(49%),63.5,0.3438,3.0,+ MARGINAL,23.5
INJ/USD,1d,crypto,9,1511,6,3,2025-03-11→2025-05-16 | 2025-05-17→2025-07-22 | 2025-07-23→2025-09-27 | 2025-09-28→2025-12-03 | 2025-12-04→2026-02-08 | 2026-02-09→2026-04-16,483,545,483,4,0.3583,-0.0018,0.0895,0.5323,0.1,-1.021,55.589,-0.015,11.937,1.837,11.547,55.7188,-45.4684,7,0.4694,0.0,4,0,trend-only(47%),60.6,0.5781,7.6,+ MARGINAL,14.8
SOL/USD,4h,crypto,9,4819,6,3,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-24→2025-12-29 | 2025-12-30→2026-02-03 | 2026-02-04→2026-03-11 | 2026-03-12→2026-04-16,837,3099,883,10,0.4413,-0.0016,-0.015,0.0543,-0.402,-0.293,1.354,-0.008,1.61,0.686,1.336,26.7503,-19.8624,6,0.3931,0.1111,7,2,trend-only(39%),57.5,0.7188,3.0,- LOSS,22.2
SNX/USD,1d,crypto,9,1732,6,2,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,595,636,501,2,0.2833,-0.0033,-0.0466,0.2575,-0.456,-1.243,6.496,-0.0107,13283291171.495,inf,inf,38.2287,-31.1314,4,0.2833,0.0,2,0,insufficient,48.5,0.6875,3.0,- LOSS,12.2
NEAR/USD,4h,crypto,9,4819,6,2,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-24→2025-12-29 | 2025-12-30→2026-02-03 | 2026-02-04→2026-03-11 | 2026-03-12→2026-04-16,1017,2793,1009,10,0.4033,-0.0055,-0.0515,0.0727,-1.243,-1.305,-1.45,-0.0129,7396908674.108,0.738,inf,29.1627,-17.8572,7,0.425,0.2677,7,3,mixed,48.0,0.9531,3.0,- LOSS,16.1
UNI/USD,1d,crypto,9,1732,6,2,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,545,702,485,4,0.375,-0.0056,-0.1092,0.2441,-1.361,-2.587,1.544,-0.0194,0.922,0.504,0.845,51.0532,-53.31,5,0.3611,0.1667,4,0,trend-only(36%),43.8,0.8906,3.0,- LOSS,18.0
SOL/USD,1d,crypto,9,1565,6,2,2025-02-21→2025-05-01 | 2025-05-02→2025-07-10 | 2025-07-11→2025-09-18 | 2025-09-19→2025-11-27 | 2025-11-28→2026-02-05 | 2026-02-06→2026-04-16,479,617,469,3,0.4375,-0.0047,-0.0977,0.263,-2.159,-1.871,0.263,-0.01,19395915475.636,inf,inf,33.5036,-20.6606,6,0.4375,0.0,2,0,insufficient,41.4,0.8438,3.0,- LOSS,12.1
XLM/USD,4h,crypto,9,4818,6,1,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-23→2025-12-29 | 2025-12-29→2026-02-03 | 2026-02-03→2026-03-11 | 2026-03-11→2026-04-16,699,3457,662,7,0.2903,-0.0024,-0.0226,0.0523,-1.734,-1.04,-2.974,-0.0068,0.699,0.702,1.237,24.2561,-19.7032,4,0.3431,0.0833,5,2,trend-only(34%),41.1,0.8906,3.0,- LOSS,29.5
SNX/USD,4h,crypto,9,4817,6,2,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-23→2025-12-29 | 2025-12-29→2026-02-03 | 2026-02-03→2026-03-11 | 2026-03-11→2026-04-16,1168,2659,990,7,0.2909,-0.0142,-0.1144,0.1841,-1.982,-1.734,-1.153,-0.0191,0.869,0.762,0.758,20.0134,-27.8188,5,0.2698,0.3333,6,1,trend-only(27%),39.7,0.8438,3.0,- LOSS,22.2
INJ/USD,4h,crypto,9,4819,6,2,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-24→2025-12-29 | 2025-12-30→2026-02-03 | 2026-02-04→2026-03-11 | 2026-03-12→2026-04-16,1118,2685,1016,7,0.2648,-0.0071,-0.0672,0.072,-2.514,-1.654,-4.216,-0.0128,0.54,0.504,0.71,16.5197,-23.1696,5,0.1352,0.3889,4,3,mixed,38.5,0.9531,3.0,- LOSS,17.8
NEAR/USD,1d,crypto,9,1201,6,0,2025-05-28→2025-07-20 | 2025-07-21→2025-09-12 | 2025-09-13→2025-11-05 | 2025-11-06→2025-12-29 | 2025-12-30→2026-02-21 | 2026-02-22→2026-04-16,375,469,357,0,0.0,-0.0032,-0.0903,0.202,-1.919,-1.525,-4.318,-0.0035,0.0,inf,inf,0.0,-15.8091,2,0.0,0.0,0,0,insufficient,27.4,1.0,3.0,TOO_FEW_TRADES,9.5
