run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,AAVE/USD,TEST,19,0.3684,0.026,0.0799,0.71,-0.0969,0.3466
1,AAVE/USD,OOT ,25,0.32,0.0247,0.0604,0.495,-0.0547,0.3729
2,AAVE/USD,TEST,19,0.3684,0.026,0.0799,0.71,-0.0969,0.3466
2,AAVE/USD,OOT ,25,0.32,0.0247,0.0604,0.495,-0.0547,0.3729
3,AAVE/USD,TEST,19,0.3684,0.026,0.0799,0.71,-0.0969,0.3466
3,AAVE/USD,OOT ,25,0.32,0.0247,0.0604,0.495,-0.0547,0.3729
4,AAVE/USD,TEST,19,0.3684,0.026,0.0799,0.71,-0.0969,0.3466
4,AAVE/USD,OOT ,25,0.32,0.0247,0.0604,0.495,-0.0547,0.3729
5,AAVE/USD,TEST,19,0.3684,0.026,0.0799,0.71,-0.0969,0.3466
5,AAVE/USD,OOT ,25,0.32,0.0247,0.0604,0.495,-0.0547,0.3729
