run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,ADA/USD,TEST,38,0.3421,-0.0618,-0.826,-0.1011,0.3316
1,ADA/USD,OOT ,53,0.3962,-0.008,0.043,-0.1264,0.3887
2,ADA/USD,TEST,38,0.3421,-0.0618,-0.826,-0.1011,0.3316
2,ADA/USD,OOT ,53,0.3962,-0.008,0.043,-0.1264,0.3887
3,ADA/USD,TEST,38,0.3421,-0.0618,-0.826,-0.1011,0.3316
3,ADA/USD,OOT ,53,0.3962,-0.008,0.043,-0.1264,0.3887
4,ADA/USD,TEST,38,0.3421,-0.0618,-0.826,-0.1011,0.3316
4,ADA/USD,OOT ,53,0.3962,-0.008,0.043,-0.1264,0.3887
5,ADA/USD,TEST,38,0.3421,-0.0618,-0.826,-0.1011,0.3316
5,ADA/USD,OOT ,53,0.3962,-0.008,0.043,-0.1264,0.3887
