run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,COMP/USD,TEST,25,0.24,-0.0268,-0.1546,-0.723,-0.0681,0.8231
1,COMP/USD,OOT ,35,0.2857,-0.0423,-0.1931,-2.057,-0.0626,0.7953
2,COMP/USD,TEST,25,0.24,-0.0268,-0.1546,-0.723,-0.0681,0.8231
2,COMP/USD,OOT ,35,0.2857,-0.0423,-0.1931,-2.057,-0.0626,0.7953
3,COMP/USD,TEST,25,0.24,-0.0268,-0.1546,-0.723,-0.0681,0.8231
3,COMP/USD,OOT ,35,0.2857,-0.0423,-0.1931,-2.057,-0.0626,0.7953
4,COMP/USD,TEST,25,0.24,-0.0268,-0.1546,-0.723,-0.0681,0.8231
4,COMP/USD,OOT ,35,0.2857,-0.0423,-0.1931,-2.057,-0.0626,0.7953
5,COMP/USD,TEST,25,0.24,-0.0268,-0.1546,-0.723,-0.0681,0.8231
5,COMP/USD,OOT ,35,0.2857,-0.0423,-0.1931,-2.057,-0.0626,0.7953
