run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,DASH/USD,TEST,36,0.3333,-0.0197,-0.1147,-0.889,-0.0377,0.7653
1,DASH/USD,OOT ,43,0.4186,0.0236,0.1213,1.066,-0.0486,0.7114
2,DASH/USD,TEST,36,0.3333,-0.0197,-0.1147,-0.889,-0.0377,0.7653
2,DASH/USD,OOT ,43,0.4186,0.0236,0.1213,1.066,-0.0486,0.7114
3,DASH/USD,TEST,36,0.3333,-0.0197,-0.1147,-0.889,-0.0377,0.7653
3,DASH/USD,OOT ,43,0.4186,0.0236,0.1213,1.066,-0.0486,0.7114
4,DASH/USD,TEST,36,0.3333,-0.0197,-0.1147,-0.889,-0.0377,0.7653
4,DASH/USD,OOT ,43,0.4186,0.0236,0.1213,1.066,-0.0486,0.7114
5,DASH/USD,TEST,36,0.3333,-0.0197,-0.1147,-0.889,-0.0377,0.7653
5,DASH/USD,OOT ,43,0.4186,0.0236,0.1213,1.066,-0.0486,0.7114
