run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,DOGE/USD,TEST,34,0.4706,0.0946,1.167,-0.0652,0.3551
1,DOGE/USD,OOT ,47,0.5106,0.4383,2.119,-0.1597,0.3951
2,DOGE/USD,TEST,34,0.4706,0.0946,1.167,-0.0652,0.3551
2,DOGE/USD,OOT ,47,0.5106,0.4383,2.119,-0.1597,0.3951
3,DOGE/USD,TEST,34,0.4706,0.0946,1.167,-0.0652,0.3551
3,DOGE/USD,OOT ,47,0.5106,0.4383,2.119,-0.1597,0.3951
4,DOGE/USD,TEST,34,0.4706,0.0946,1.167,-0.0652,0.3551
4,DOGE/USD,OOT ,47,0.5106,0.4383,2.119,-0.1597,0.3951
5,DOGE/USD,TEST,34,0.4706,0.0946,1.167,-0.0652,0.3551
5,DOGE/USD,OOT ,47,0.5106,0.4383,2.119,-0.1597,0.3951
