run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,ETH/USD,TEST,17,0.2353,-0.0598,-0.1682,-2.148,-0.0849,0.3264
1,ETH/USD,OOT ,17,0.4706,0.0026,0.0062,0.134,-0.0402,0.3453
2,ETH/USD,TEST,17,0.2353,-0.0598,-0.1682,-2.148,-0.0849,0.3264
2,ETH/USD,OOT ,17,0.4706,0.0026,0.0062,0.134,-0.0402,0.3453
3,ETH/USD,TEST,17,0.2353,-0.0598,-0.1682,-2.148,-0.0849,0.3264
3,ETH/USD,OOT ,17,0.4706,0.0026,0.0062,0.134,-0.0402,0.3453
4,ETH/USD,TEST,17,0.2353,-0.0598,-0.1682,-2.148,-0.0849,0.3264
4,ETH/USD,OOT ,17,0.4706,0.0026,0.0062,0.134,-0.0402,0.3453
5,ETH/USD,TEST,17,0.2353,-0.0598,-0.1682,-2.148,-0.0849,0.3264
5,ETH/USD,OOT ,17,0.4706,0.0026,0.0062,0.134,-0.0402,0.3453
