run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,INJ/USD,TEST,41,0.2927,-0.0812,-0.705,-0.1067,0.3952
1,INJ/USD,OOT ,58,0.2759,-0.0263,-0.005,-0.194,0.4206
2,INJ/USD,TEST,41,0.2927,-0.0812,-0.705,-0.1067,0.3952
2,INJ/USD,OOT ,58,0.2759,-0.0263,-0.005,-0.194,0.4206
3,INJ/USD,TEST,41,0.2927,-0.0812,-0.705,-0.1067,0.3952
3,INJ/USD,OOT ,58,0.2759,-0.0263,-0.005,-0.194,0.4206
4,INJ/USD,TEST,41,0.2927,-0.0812,-0.705,-0.1067,0.3952
4,INJ/USD,OOT ,58,0.2759,-0.0263,-0.005,-0.194,0.4206
5,INJ/USD,TEST,41,0.2927,-0.0812,-0.705,-0.1067,0.3952
5,INJ/USD,OOT ,58,0.2759,-0.0263,-0.005,-0.194,0.4206
