run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,INJ/USD,TEST,18,0.2778,-0.0497,-0.1411,-1.089,-0.1292,0.3824
1,INJ/USD,OOT ,11,0.4545,0.0309,0.0758,0.67,-0.0551,0.4187
2,INJ/USD,TEST,18,0.2778,-0.0497,-0.1411,-1.089,-0.1292,0.3824
2,INJ/USD,OOT ,11,0.4545,0.0309,0.0758,0.67,-0.0551,0.4187
3,INJ/USD,TEST,18,0.2778,-0.0497,-0.1411,-1.089,-0.1292,0.3824
3,INJ/USD,OOT ,11,0.4545,0.0309,0.0758,0.67,-0.0551,0.4187
4,INJ/USD,TEST,18,0.2778,-0.0497,-0.1411,-1.089,-0.1292,0.3824
4,INJ/USD,OOT ,11,0.4545,0.0309,0.0758,0.67,-0.0551,0.4187
5,INJ/USD,TEST,18,0.2778,-0.0497,-0.1411,-1.089,-0.1292,0.3824
5,INJ/USD,OOT ,11,0.4545,0.0309,0.0758,0.67,-0.0551,0.4187
