run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,LTC/USD,TEST,20,0.25,-0.0539,-0.99,-0.0552,0.2647
1,LTC/USD,OOT ,48,0.3542,-0.0015,0.039,-0.0984,0.3935
2,LTC/USD,TEST,20,0.25,-0.0539,-0.99,-0.0552,0.2647
2,LTC/USD,OOT ,48,0.3542,-0.0015,0.039,-0.0984,0.3935
3,LTC/USD,TEST,20,0.25,-0.0539,-0.99,-0.0552,0.2647
3,LTC/USD,OOT ,48,0.3542,-0.0015,0.039,-0.0984,0.3935
4,LTC/USD,TEST,20,0.25,-0.0539,-0.99,-0.0552,0.2647
4,LTC/USD,OOT ,48,0.3542,-0.0015,0.039,-0.0984,0.3935
5,LTC/USD,TEST,20,0.25,-0.0539,-0.99,-0.0552,0.2647
5,LTC/USD,OOT ,48,0.3542,-0.0015,0.039,-0.0984,0.3935
