run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,MATIC/USD,TEST,28,0.3214,-0.0152,-0.182,-0.0724,0.3429
1,MATIC/USD,OOT ,40,0.35,0.1418,0.789,-0.2056,0.4454
2,MATIC/USD,TEST,28,0.3214,-0.0152,-0.182,-0.0724,0.3429
2,MATIC/USD,OOT ,40,0.35,0.1418,0.789,-0.2056,0.4454
3,MATIC/USD,TEST,28,0.3214,-0.0152,-0.182,-0.0724,0.3429
3,MATIC/USD,OOT ,40,0.35,0.1418,0.789,-0.2056,0.4454
4,MATIC/USD,TEST,28,0.3214,-0.0152,-0.182,-0.0724,0.3429
4,MATIC/USD,OOT ,40,0.35,0.1418,0.789,-0.2056,0.4454
5,MATIC/USD,TEST,28,0.3214,-0.0152,-0.182,-0.0724,0.3429
5,MATIC/USD,OOT ,40,0.35,0.1418,0.789,-0.2056,0.4454
