run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,SOL/USD,TEST,31,0.2258,-0.1259,-1.898,-0.1564,0.3292
1,SOL/USD,OOT ,71,0.3662,0.0106,0.167,-0.2667,0.3817
2,SOL/USD,TEST,31,0.2258,-0.1259,-1.898,-0.1564,0.3292
2,SOL/USD,OOT ,71,0.3662,0.0106,0.167,-0.2667,0.3817
3,SOL/USD,TEST,31,0.2258,-0.1259,-1.898,-0.1564,0.3292
3,SOL/USD,OOT ,71,0.3662,0.0106,0.167,-0.2667,0.3817
4,SOL/USD,TEST,31,0.2258,-0.1259,-1.898,-0.1564,0.3292
4,SOL/USD,OOT ,71,0.3662,0.0106,0.167,-0.2667,0.3817
5,SOL/USD,TEST,31,0.2258,-0.1259,-1.898,-0.1564,0.3292
5,SOL/USD,OOT ,71,0.3662,0.0106,0.167,-0.2667,0.3817
