run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,SOL/USD,TEST,4,0.5,0.0009,0.048,-0.0398,0.2445
1,SOL/USD,OOT ,12,0.4167,0.0385,0.416,-0.0633,0.2808
2,SOL/USD,TEST,4,0.5,0.0009,0.048,-0.0398,0.2445
2,SOL/USD,OOT ,12,0.4167,0.0385,0.416,-0.0633,0.2808
3,SOL/USD,TEST,4,0.5,0.0009,0.048,-0.0398,0.2445
3,SOL/USD,OOT ,12,0.4167,0.0385,0.416,-0.0633,0.2808
4,SOL/USD,TEST,4,0.5,0.0009,0.048,-0.0398,0.2445
4,SOL/USD,OOT ,12,0.4167,0.0385,0.416,-0.0633,0.2808
5,SOL/USD,TEST,4,0.5,0.0009,0.048,-0.0398,0.2445
5,SOL/USD,OOT ,12,0.4167,0.0385,0.416,-0.0633,0.2808
