run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,XRP/USD,TEST,32,0.25,-0.0795,-1.134,-0.1198,0.4129
1,XRP/USD,OOT ,58,0.3621,-0.0009,0.078,-0.1963,0.4168
2,XRP/USD,TEST,32,0.25,-0.0795,-1.134,-0.1198,0.4129
2,XRP/USD,OOT ,58,0.3621,-0.0009,0.078,-0.1963,0.4168
3,XRP/USD,TEST,32,0.25,-0.0795,-1.134,-0.1198,0.4129
3,XRP/USD,OOT ,58,0.3621,-0.0009,0.078,-0.1963,0.4168
4,XRP/USD,TEST,32,0.25,-0.0795,-1.134,-0.1198,0.4129
4,XRP/USD,OOT ,58,0.3621,-0.0009,0.078,-0.1963,0.4168
5,XRP/USD,TEST,32,0.25,-0.0795,-1.134,-0.1198,0.4129
5,XRP/USD,OOT ,58,0.3621,-0.0009,0.078,-0.1963,0.4168
