iter	MultiClass
0	1.097216924
1	1.095251104
2	1.093176659
3	1.09175895
4	1.089739242
5	1.08897592
6	1.087924447
7	1.086553816
8	1.085129565
9	1.083595905
10	1.082100103
11	1.080985721
12	1.079651125
13	1.078865422
14	1.077262551
15	1.076047623
16	1.074690374
17	1.074040817
18	1.072821477
19	1.071697711
20	1.070677173
21	1.069638962
22	1.06775093
23	1.066061081
24	1.065116039
25	1.063685024
26	1.062022592
27	1.060661873
28	1.059466037
29	1.05838194
30	1.057371595
31	1.05634865
32	1.055130188
33	1.053731237
34	1.052867972
35	1.05241102
36	1.051120887
37	1.050310691
38	1.04885993
39	1.047734005
40	1.046563138
41	1.045314819
42	1.044031903
43	1.043117899
44	1.042314912
45	1.041227287
46	1.039925288
47	1.039319432
48	1.038148516
49	1.036714828
50	1.035600616
51	1.034356904
52	1.033363161
53	1.03210098
54	1.0312311
55	1.029857626
56	1.028849062
57	1.028157796
58	1.027372125
59	1.026804351
60	1.025115632
61	1.024318076
62	1.022792309
63	1.021115766
64	1.019882561
65	1.019229291
66	1.018163814
67	1.017315344
68	1.01634214
69	1.015488527
70	1.014436125
71	1.013822178
72	1.01245528
73	1.011932065
74	1.010823878
75	1.010114721
76	1.009646509
