iter	Passed	Remaining
0	167	134097
1	173	69069
2	178	47369
3	183	36424
4	188	29986
5	194	25699
6	199	22648
7	205	20360
8	212	18637
9	217	17176
10	222	15986
11	228	14986
12	233	14113
13	241	13536
14	246	12919
15	251	12343
16	257	11857
17	263	11460
18	269	11066
19	274	10692
20	279	10355
21	284	10063
22	289	9784
23	295	9545
24	300	9309
25	305	9093
26	310	8891
27	316	8715
28	321	8559
29	327	8416
30	333	8261
31	338	8113
32	343	7991
33	349	7874
34	355	7759
35	360	7644
36	365	7539
37	370	7432
38	376	7337
39	381	7246
40	386	7159
41	391	7072
42	396	6984
43	401	6903
44	407	6830
45	412	6755
46	417	6692
47	422	6623
48	428	6569
49	434	6513
50	440	6462
51	445	6401
52	450	6343
53	455	6290
54	460	6234
55	465	6183
56	471	6139
57	476	6093
58	481	6047
59	489	6034
60	495	6001
61	500	5959
62	505	5917
63	510	5871
64	515	5832
65	520	5791
66	525	5750
67	530	5715
68	535	5675
69	540	5638
70	546	5609
71	552	5581
72	558	5557
73	563	5529
74	568	5496
75	574	5468
76	579	5438
77	584	5411
78	589	5380
79	595	5357
80	600	5333
81	606	5307
82	611	5284
83	616	5257
84	621	5230
85	626	5204
86	631	5177
87	637	5161
88	643	5142
89	649	5122
90	654	5099
91	660	5079
92	665	5055
93	670	5037
94	676	5018
95	682	5001
96	687	4980
97	692	4960
98	697	4941
99	703	4921
100	708	4902
101	713	4882
102	718	4863
103	724	4845
104	729	4825
105	734	4808
106	739	4791
107	748	4793
