timestamp,open,high,low,close,volume
2020-12-15,109.9,109.9,81.02,84.67,21275.023101090002
2020-12-21,86.28,94.0,63.83,78.36,15886.82802401
2020-12-28,76.58,99.99,75.0,93.19,21822.70275266
2021-01-04,94.4,136.44,85.49,127.08,70288.00086798
2021-01-11,127.0,203.16,94.26,186.46,43972.7908402
2021-01-18,188.02,290.68,147.53,264.37,83963.58146834999
2021-01-25,266.36,345.0,238.0,300.78,83477.12648097999
2021-02-01,300.83,544.3,285.0,472.87,110439.9920529801
2021-02-08,472.43,581.01,461.65,469.58,68282.10366274
2021-02-15,471.75,497.99,393.0,435.74,103785.04495940999
2021-02-22,437.77,448.24,289.0,350.46,89309.04393282029
2021-03-01,353.89,419.0,341.2,414.27,46951.80263388
2021-03-08,415.56,458.58,360.3,380.44,43727.752859860004
2021-03-15,380.01,396.0,351.31,367.46,34672.43227164
2021-03-22,367.67,371.08,297.71,347.96,30790.90259854
2021-03-29,345.95,424.97,343.7,403.9,30422.988805610003
2021-04-05,405.53,413.97,341.45,371.76,30490.65090416
2021-04-12,372.33,486.3,310.0,381.97,75689.1618168603
2021-04-19,381.97,413.7,310.0,348.5,53868.64558483
2021-04-26,348.72,512.67,346.28,483.65,52562.320071509996
2021-05-03,482.93,535.16,433.49,460.04,49956.07925966
2021-05-10,457.34,633.12,406.44,527.0,177333.7453314389
2021-05-17,527.0,666.28,208.55,293.53,188302.0805675392
2021-05-24,293.84,416.57,280.8,324.83,99763.59881626
2021-05-31,324.08,408.92,304.17,365.49,43019.46409817
2021-06-07,366.1,387.59,266.28,316.9,58782.58960638
2021-06-14,317.09,335.77,242.74,272.89,55630.4496128901
2021-06-21,272.36,272.76,170.39,202.99,96799.3148918801
2021-06-28,203.54,289.38,200.94,276.88,64626.1490622601
2021-07-05,276.28,347.22,261.81,304.4,67305.9099922302
2021-07-12,305.23,324.09,246.64,255.16,71280.25480349
2021-07-19,253.12,298.8,212.88,288.15,71681.19203654
2021-07-26,287.84,339.34,284.41,317.05,53060.28783557
2021-08-02,316.6,399.01,300.58,361.91,41992.1028600399
2021-08-09,362.83,428.37,347.34,410.89,48126.91239954
2021-08-16,410.9,447.64,361.5,402.25,52673.09140058
2021-08-23,401.92,414.75,341.29,364.38,57473.735108400004
2021-08-30,364.06,425.3,346.66,416.89,38905.08294477
2021-09-06,416.77,425.0,300.0,333.81,67238.7059084403
2021-09-13,334.43,417.11,303.62,339.02,69016.3405163901
2021-09-20,340.77,340.77,252.41,293.66,63913.183845989995
2021-09-27,293.64,323.22,259.61,310.55,27105.00276026
2021-10-04,309.74,324.35,284.59,288.68,23503.81039571
2021-10-11,286.82,321.23,250.0,305.02,28241.82207804
2021-10-18,305.05,337.47,290.24,306.83,34265.7229142602
2021-10-25,307.39,472.15,301.43,314.73,101356.9632661586
2021-11-01,313.78,346.06,302.64,319.64,34230.5796302699
2021-11-08,320.25,349.37,296.53,315.55,76941.4976948903
2021-11-15,315.54,317.14,255.94,267.21,37940.0616964601
2021-11-22,267.03,277.33,219.08,238.89,35338.0559162999
2021-11-29,238.9,268.82,160.0,192.03,51835.907430889994
2021-12-06,190.94,203.89,163.0,179.81,47688.492637359996
