timestamp,open,high,low,close,volume
2021-12-21,119.99,150.0,115.9,116.97,57678.93947393
2021-12-23,116.97,130.0,90.55,97.46,395436.7539196199
2022-01-06,97.46,98.66,79.01,82.62,476169.3073072799
2022-01-20,82.83,87.7,53.01,67.84,883198.2482520791
2022-02-03,67.89,98.11,65.09,95.2,796188.3062483795
2022-02-17,95.86,98.99,64.56,83.31,952434.5693906385
2022-03-03,83.42,84.25,65.63,74.07,584527.2671783009
2022-03-17,74.19,100.48,73.28,95.58,1173458.9871914517
2022-03-31,95.32,103.73,72.82,80.08,1059686.3791718
2022-04-14,80.03,81.77,67.42,69.8,456851.9034843102
2022-04-28,69.8,70.67,26.01,31.04,1322674.6511668446
2022-05-12,31.33,37.9,22.36,27.12,1561150.295238579
2022-05-26,27.18,29.05,21.08,24.5,1518619.9509858002
2022-06-09,24.51,25.34,12.2,16.07,2244927.4600088885
2022-06-23,16.08,22.03,15.77,19.14,1028411.4868056602
2022-07-07,19.06,26.34,16.33,23.57,1587083.2848329511
2022-07-21,23.57,25.81,19.56,23.07,1494425.049050823
2022-08-04,23.06,30.85,22.9,25.52,1006137.4782231605
2022-08-18,25.57,26.28,17.49,19.13,1144866.99599025
2022-09-01,19.1,21.96,17.83,19.12,785452.7320906701
2022-09-15,19.07,20.2,12.62,17.24,784829.7659637702
2022-09-29,17.27,17.74,15.6,15.96,288302.9703070299
2022-10-13,15.95,17.33,14.45,17.02,480755.5121357898
2022-10-27,17.04,20.56,12.01,12.86,1157312.8772823801
2022-11-10,12.87,15.93,11.45,13.06,881314.5092168702
2022-11-24,13.07,14.33,11.99,13.26,470110.8421935297
2022-12-08,13.27,14.35,11.13,11.69,655233.9262712814
2022-12-22,11.7,12.28,10.56,12.09,358997.0622212402
2023-01-05,12.09,18.6,11.36,15.83,2005997.799010683
2023-01-19,15.86,23.53,15.71,20.95,1693857.7316474586
2023-02-02,20.97,22.77,16.87,19.94,1414942.3513704792
2023-02-16,19.95,21.65,16.96,17.76,1202562.4058160197
2023-03-02,17.77,17.97,13.89,15.61,1350877.4952815368
2023-03-16,15.57,18.25,15.3,17.3,788556.8435704818
2023-03-30,17.34,18.75,16.68,18.24,527032.7936623215
2023-04-13,18.24,21.57,16.27,17.19,1533881.3443130073
2023-04-27,17.23,18.04,14.77,15.56,695859.0174820289
2023-05-11,15.51,16.62,14.01,14.13,490439.8917323898
2023-05-25,14.1,15.71,13.48,14.05,650626.3100687206
2023-06-08,14.0,14.25,9.86,12.89,1062033.1942313914
2023-06-22,12.92,13.68,12.08,12.68,611533.7871383099
2023-07-06,12.63,16.0,12.25,13.99,858071.4121784206
2023-07-20,13.98,14.4,12.39,12.54,546270.0936497304
2023-08-03,12.54,12.79,11.07,11.36,333852.5623023701
2023-08-17,11.36,11.49,9.72,10.42,526666.4481377904
2023-08-31,10.4,10.53,9.05,9.3,430431.6333122708
2023-09-14,9.29,9.6,8.63,8.92,442807.07933532976
2023-09-28,8.91,11.91,8.9,9.31,1214582.729325601
2023-10-12,9.3,10.8,8.67,10.52,978333.1599292398
2023-10-26,10.51,13.17,10.35,12.98,1837524.359610649
2023-11-09,12.97,24.7,11.91,20.81,5793804.447789162
2023-11-23,20.83,27.69,19.52,26.22,2436678.253633554
2023-12-07,26.32,45.33,25.76,43.44,6035276.87859394
2023-12-21,43.49,49.9,32.09,36.84,3332998.913141883
2024-01-04,36.8,41.8,31.0,36.06,1808210.00733847
2024-01-18,36.06,37.23,27.23,33.17,1968609.2882253686
2024-02-01,33.2,42.44,32.31,42.3,1678514.5550269275
2024-02-15,42.3,43.63,35.17,40.36,1621912.0030860514
2024-02-29,40.38,57.35,34.9,54.91,3070510.554405975
2024-03-14,54.86,65.55,48.39,54.03,5087910.291877724
2024-03-28,54.06,54.99,44.02,47.29,1343522.3307241674
2024-04-11,47.31,47.46,29.35,36.34,1828350.9465820682
2024-04-25,36.35,39.88,30.58,34.05,1245295.5304395973
2024-05-09,34.01,41.75,31.36,39.99,880398.5543593487
2024-05-23,40.02,40.45,34.48,36.55,783560.4395182399
2024-06-06,36.56,37.2,24.85,26.91,1086414.0133051705
2024-06-20,26.9,30.18,23.5,26.48,1453923.5143656696
2024-07-04,26.46,29.23,21.84,27.24,897312.9257939402
2024-07-18,27.25,32.98,25.44,25.71,1142443.0306536192
2024-08-01,25.73,25.91,17.28,20.96,1249067.2258208666
2024-08-15,20.96,27.99,19.82,23.49,986914.1598398292
2024-08-29,23.46,24.67,20.49,23.31,875901.6590831097
2024-09-12,23.28,28.78,22.81,27.3,954543.8893025091
2024-09-26,27.26,30.85,23.91,25.77,882999.3881635992
2024-10-10,25.77,29.82,25.06,26.74,749437.8857578811
2024-10-24,26.6,27.32,22.35,27.03,874145.9100859112
2024-11-07,27.04,37.69,26.58,33.61,2287668.2623678986
2024-11-21,33.62,55.79,32.38,52.88,3402871.854108329
2024-12-05,52.85,55.37,40.7,42.82,2553027.5244441684
2024-12-19,42.76,43.53,33.56,37.66,1282575.6017532158
2025-01-02,37.81,45.2,32.73,39.85,1463862.2737980809
2025-01-16,39.94,41.81,31.83,32.79,1700048.971965468
2025-01-30,32.83,36.16,21.3,26.49,1283518.5459351975
2025-02-13,26.5,27.21,20.3,21.83,830810.0366853164
2025-02-27,21.87,25.08,15.3,18.92,1386749.6957733422
2025-03-13,18.91,23.46,17.73,22.02,894431.2221081406
2025-03-27,22.07,22.36,14.66,18.45,1417895.3211571188
2025-04-10,18.44,23.08,17.57,22.34,1074467.4632051506
2025-04-24,22.35,22.99,19.08,19.55,969156.7535765789
2025-05-08,19.55,26.81,19.5,23.17,1845468.0999329132
2025-05-22,23.2,25.98,19.8,20.09,1125178.69103328
2025-06-05,20.09,22.76,18.08,18.15,1032367.16324898
2025-06-19,18.18,18.88,15.62,18.52,1074081.18372022
2025-07-03,18.53,23.02,17.51,22.66,1139540.4546118572
2025-07-17,22.68,27.37,22.05,23.32,2280216.704392001
2025-07-31,23.29,25.66,20.59,25.5,1772635.3015856838
2025-08-14,25.47,28.72,22.2,24.42,2684413.609678382
2025-08-28,24.44,31.57,22.67,29.46,1725554.9177523004
2025-09-11,29.47,36.14,28.08,32.33,6101582.052100212
2025-09-25,32.33,32.8,27.1,28.81,4616747.647849709
2025-10-09,28.84,28.89,8.46,19.03,3975239.18638692
2025-10-23,19.02,21.1,15.0,16.61,2120344.50341386
2025-11-06,16.61,18.59,13.68,14.27,3630987.3221009104
2025-11-20,14.27,15.27,12.44,14.78,2224548.76782133
2025-12-04,14.8,14.87,11.7,11.84,1806167.04950441
2025-12-18,11.86,13.17,11.26,12.3,1857861.98759456
