timestamp,open,high,low,close,volume
2022-06-02,0.4,0.4,0.3,0.382,72863.78138604
2022-06-03,0.376,0.406,0.349,0.357,68261.62793404
2022-06-04,0.356,0.51,0.342,0.353,102518.83453623
2022-06-05,0.356,0.359,0.343,0.353,103711.16579246
2022-06-06,0.352,0.388,0.3492,0.363,222037.05113159
2022-06-07,0.3611,0.365,0.339,0.354,146006.64727268
2022-06-08,0.354,0.359,0.335,0.339,197784.76878973
2022-06-09,0.3341,0.351,0.33,0.3351,52629.97060207
2022-06-10,0.3312,0.341,0.304,0.3072,480517.5125383593
2022-06-11,0.3067,0.3166,0.2744,0.2776,153094.1916938
2022-06-12,0.2768,0.2796,0.2241,0.227,601579.7513026702
2022-06-13,0.225,0.314,0.198,0.239,908856.88402035
2022-06-14,0.2389,0.37,0.224,0.2389,706568.6840697405
2022-06-15,0.2322,0.26,0.21,0.2531,784565.0629356285
2022-06-16,0.2587,0.3368,0.2201,0.225,684965.3519876496
2022-06-17,0.2284,0.27,0.224,0.2423,276308.43489393
2022-06-18,0.2439,0.32,0.204,0.22,660502.0492472693
2022-06-19,0.22,0.2492,0.2113,0.2483,372179.9616824403
2022-06-20,0.2432,0.2777,0.2362,0.2532,264407.2000729199
2022-06-21,0.2547,0.38,0.2504,0.2729,874345.83176294
2022-06-22,0.2675,0.2807,0.2517,0.2519,517631.6130613001
2022-06-23,0.2528,0.2761,0.2524,0.2734,367627.91903947
2022-06-24,0.2728,0.3081,0.2718,0.3011,268339.6678287901
2022-06-25,0.3014,0.3499,0.2877,0.3091,928782.2055855097
2022-06-26,0.3073,0.3398,0.2784,0.2784,339580.9274185798
2022-06-27,0.28,0.3257,0.275,0.275,269968.9245770701
2022-06-28,0.279,0.33,0.2705,0.274,456377.6657311904
2022-06-29,0.2719,0.2785,0.2532,0.2588,254214.4893179299
2022-06-30,0.2631,0.2647,0.2365,0.2516,362658.3838707101
2022-07-01,0.2502,0.2609,0.2439,0.2488,144763.7625131899
2022-07-02,0.249,0.3,0.2378,0.2459,292377.3674518202
2022-07-03,0.2467,0.28,0.2436,0.2584,227710.3293575902
2022-07-04,0.2563,0.2655,0.2502,0.2652,371564.8376701
2022-07-05,0.2667,0.2726,0.2476,0.2574,232317.46717814
2022-07-06,0.2581,0.2645,0.25,0.2631,147676.32289603
2022-07-07,0.2641,0.2819,0.2593,0.2781,355716.71158033
2022-07-08,0.2759,0.2992,0.2681,0.2738,362218.8508334302
2022-07-09,0.2741,0.2873,0.2726,0.2817,156369.1388884001
2022-07-10,0.2808,0.2827,0.2631,0.2668,152171.38924648
2022-07-11,0.2639,0.2642,0.19,0.2437,311035.0010889299
2022-07-12,0.243,0.2488,0.2346,0.2346,164088.47958876
2022-07-13,0.233,0.2459,0.2206,0.2459,238252.41137193
2022-07-14,0.246,0.28,0.2351,0.2546,529360.5112568793
2022-07-15,0.2566,0.2785,0.2503,0.2583,313090.7880062999
2022-07-16,0.257,0.2663,0.2481,0.2627,166026.54937186
2022-07-17,0.2648,0.2717,0.256,0.256,180104.3683219999
2022-07-18,0.2557,0.3,0.2552,0.2973,574321.3989612397
2022-07-19,0.2958,0.3486,0.2883,0.3408,1897445.90513084
2022-07-20,0.3395,0.3583,0.3059,0.3104,661680.8172112998
2022-07-21,0.3135,0.3355,0.2931,0.3303,724337.2856347911
2022-07-22,0.3333,0.3456,0.3119,0.3188,789381.2959823209
2022-07-23,0.3188,0.3543,0.3152,0.3426,506245.3541944103
2022-07-24,0.3435,0.3673,0.3317,0.3584,528366.0386082302
2022-07-25,0.357,0.357,0.3039,0.3039,1258604.9922461002
2022-07-26,0.3055,0.3056,0.2883,0.3023,538545.1364589805
2022-07-27,0.3027,0.3306,0.2944,0.3306,1913109.8009125304
2022-07-28,0.3308,0.3494,0.2975,0.3379,820130.7487060314
2022-07-29,0.3401,0.37,0.3244,0.3345,852214.6750639715
2022-07-30,0.3353,0.3652,0.3321,0.3347,435836.3528160001
2022-07-31,0.335,0.3537,0.3266,0.3299,493393.1342607004
2022-08-01,0.3282,0.3462,0.3245,0.3432,366987.4864463496
2022-08-02,0.3454,0.3484,0.3188,0.3293,528039.8546700999
2022-08-03,0.3289,0.3486,0.3179,0.3373,307779.37703252
2022-08-04,0.3372,0.3909,0.3372,0.3679,1447171.7594385494
2022-08-05,0.3679,0.45,0.3617,0.3809,1516483.4682995402
2022-08-06,0.3817,0.3895,0.363,0.3663,448458.69574182
2022-08-07,0.3667,0.3786,0.3553,0.3716,224803.7533783699
2022-08-08,0.375,0.392,0.3735,0.3799,255445.7145384699
2022-08-09,0.3796,0.3926,0.3535,0.3725,281369.0668760902
2022-08-10,0.3748,0.45,0.3578,0.4075,934191.0117086698
2022-08-11,0.409,0.45,0.3895,0.392,474138.6908771999
2022-08-12,0.3908,0.4043,0.385,0.403,362109.9167245502
2022-08-13,0.4015,0.4187,0.3964,0.3999,312857.90948636
2022-08-14,0.3985,0.4107,0.3818,0.3875,188243.2447716501
2022-08-15,0.3862,0.4041,0.366,0.3725,337228.9853941201
2022-08-16,0.3716,0.3781,0.3649,0.3688,358914.0173511001
2022-08-17,0.369,0.3853,0.3443,0.348,887445.484596121
2022-08-18,0.349,0.3668,0.3267,0.3306,502049.0965243197
2022-08-19,0.3302,0.3333,0.2958,0.3012,1486895.4570862695
2022-08-20,0.3009,0.3126,0.2874,0.2975,282357.3960153697
2022-08-21,0.2984,0.3099,0.2982,0.3068,500722.5031122699
2022-08-22,0.3046,0.3057,0.2853,0.2964,667951.3255597291
2022-08-23,0.2964,0.3072,0.2885,0.3057,179924.2780190301
2022-08-24,0.304,0.314,0.2934,0.3019,192503.6328711
2022-08-25,0.3018,0.3173,0.3015,0.3083,217662.0950196199
2022-08-26,0.3046,0.3081,0.2698,0.274,382569.3813348599
2022-08-27,0.2739,0.2783,0.2666,0.2752,183245.54520109
2022-08-28,0.2749,0.2809,0.2637,0.2637,192084.6632774202
2022-08-29,0.263,0.2848,0.2605,0.2829,224957.35922085
