timestamp,open,high,low,close,volume
2021-08-10,8.6,12.5,8.453,9.395,121244.51074886
2021-08-16,9.419,14.9,8.935,12.553,151100.92616113002
2021-08-23,12.64,13.321,10.616,11.124,89346.09416733
2021-08-30,11.087,14.9,10.854,13.386,182107.94143089
2021-09-06,13.37,16.5,10.77,12.203,153378.58708172
2021-09-13,12.132,13.998,10.592,10.951,50103.489679269995
2021-09-20,10.857,12.83,7.908,10.603,129651.78111176
2021-09-27,10.73,12.003,9.189,10.876,84861.24317733
2021-10-04,10.856,13.0,9.678,10.919,95215.89302653
2021-10-11,10.889,12.588,9.999,12.004,61972.54050792
2021-10-18,12.044,14.368,11.661,12.071,92665.15478376
2021-10-25,12.215,13.135,10.491,10.908,63365.268532129994
2021-11-01,10.845,14.45,10.519,13.24,151598.81072438002
2021-11-08,13.25,14.829,11.305,11.859,170021.43037066
2021-11-15,11.965,14.639,10.467,12.489,247538.50965064002
2021-11-22,12.507,14.481,11.379,12.05,208070.07106815
2021-11-29,12.121,14.236,9.792,9.813,154489.96297136002
2021-12-06,9.765,12.89,8.429,9.416,199906.7846821701
2021-12-13,9.289,9.344,7.776,8.238,143281.43928791
2021-12-20,8.148,10.386,7.465,9.376,116933.31882785
2021-12-27,9.292,10.299,8.234,8.578,93650.26492486
2022-01-03,8.548,8.568,6.51,6.737,98208.86934683
2022-01-10,6.747,7.57,6.352,7.212,104006.09293573
2022-01-17,7.132,7.132,4.227,4.408,162355.17343912998
2022-01-24,4.327,5.388,3.756,4.274,213482.91356375001
2022-01-31,4.241,4.774,3.92,4.774,124800.03457121
2022-02-07,4.714,10.121,4.656,6.192,474206.7612879996
2022-02-14,6.163,7.55,5.069,5.749,187677.50697651
2022-02-21,5.6,6.857,4.573,5.21,224063.72378429
2022-02-28,5.164,6.618,5.164,5.519,135803.34306364
2022-03-07,5.331,5.944,4.928,4.996,83161.11041333
2022-03-14,4.996,5.712,4.996,5.325,93369.37199654
2022-03-21,5.321,6.313,5.235,6.095,77265.83284526
2022-03-28,6.112,6.474,5.856,6.313,114845.99946984
2022-04-04,6.281,7.558,5.85,6.091,273026.03490549
2022-04-11,6.063,6.09,5.096,5.096,64580.08671666
2022-04-18,5.137,5.414,4.578,4.592,41720.1255506
2022-04-25,4.56,4.9,3.456,3.608,83913.51687998
2022-05-02,3.657,5.25,3.468,3.508,148107.28465244
2022-05-09,3.536,3.565,1.49,2.201,385488.074304993
2022-05-16,2.199,2.729,1.945,2.261,221797.3938813903
2022-05-23,2.257,2.465,1.865,2.09,71676.82861317
2022-05-30,2.075,2.32,1.992,2.027,40847.76455674
2022-06-06,2.04,2.363,1.561,1.561,132859.93301022
2022-06-13,1.557,1.779,1.134,1.291,205706.57138708
2022-06-20,1.272,1.556,1.25,1.364,118401.47973684
2022-06-27,1.37,1.422,1.167,1.208,72132.96311635
2022-07-04,1.211,1.552,1.182,1.385,155572.76819314
2022-07-11,1.37,1.37,1.127,1.267,99154.79050559
2022-07-18,1.265,1.463,1.241,1.357,139905.1926013501
2022-07-25,1.349,1.534,1.21,1.428,123784.97821246
2022-08-01,1.431,1.701,1.369,1.589,121911.21247915
2022-08-08,1.604,3.154,1.469,1.829,663384.8891125809
2022-08-15,1.811,2.18,1.55,1.839,215814.55606102
2022-08-22,1.81,1.874,1.49,1.495,97493.07139321
2022-08-29,1.503,1.637,1.471,1.592,43267.80939168
2022-09-05,1.586,2.4,1.441,1.877,319718.3485079501
2022-09-12,1.871,2.135,1.438,1.452,236458.09670236008
2022-09-19,1.449,2.135,1.428,1.799,197028.7806725499
2022-09-26,1.825,1.94,1.561,1.562,259399.5459577201
2022-10-03,1.555,2.2,1.554,1.91,229725.65511901
2022-10-10,1.923,1.999,1.57,1.893,203307.81738093
2022-10-17,1.91,2.361,1.767,1.927,169269.2270911501
2022-10-24,1.913,2.5,1.861,2.187,509371.8824582796
2022-10-31,2.215,3.038,2.15,2.604,712825.3138580399
2022-11-07,2.592,2.799,1.311,1.803,640806.0012308488
2022-11-14,1.783,1.907,1.572,1.58,84941.43630798001
2022-11-21,1.57,1.88,1.466,1.638,46548.53360634
2022-11-28,1.607,1.9,1.533,1.629,62661.4388423
2022-12-05,1.639,1.687,1.564,1.632,22478.10305525
2022-12-12,1.625,1.81,1.364,1.403,94027.1568537
2022-12-19,1.418,1.432,1.272,1.309,31249.96884282
2022-12-26,1.311,1.359,1.226,1.263,32133.51853194
2023-01-02,1.268,1.427,1.246,1.416,38027.871709240004
2023-01-09,1.423,1.764,1.385,1.652,248422.1508313901
2023-01-16,1.658,2.199,1.47,1.985,196198.1907093501
2023-01-23,1.985,2.844,1.786,2.592,403735.6600411696
2023-01-30,2.559,4.249,2.496,3.611,707662.9879906597
2023-02-06,3.657,4.481,3.015,3.339,735581.6496180994
2023-02-13,3.364,4.741,3.038,4.159,382107.92102725
2023-02-20,4.189,4.89,3.289,3.745,241166.47384572
2023-02-27,3.754,3.881,3.117,3.339,101168.46865408
2023-03-06,3.351,3.791,2.462,3.725,265874.5899932099
2023-03-13,3.786,5.01,3.587,4.288,481714.39094134036
2023-03-20,4.307,4.499,3.788,4.057,254058.77698628
2023-03-27,4.061,5.439,3.638,5.2,338500.9934377
2023-04-03,5.172,6.321,4.881,5.715,386912.0419162602
2023-04-10,5.684,9.672,5.57,9.327,381418.2543611104
2023-04-17,9.26,9.99,6.81,6.878,604458.6050345399
2023-04-24,6.877,9.278,6.447,7.773,576447.9883263286
2023-05-01,7.897,8.139,7.111,7.267,250568.01495284
2023-05-08,7.361,7.361,5.597,6.107,290402.3564262902
2023-05-15,6.057,7.52,5.971,6.732,268941.55478494
2023-05-22,6.726,7.412,6.112,7.107,214274.2962289
2023-05-29,7.202,8.194,6.951,7.8,364960.25428118
2023-06-05,7.8,7.818,5.421,5.704,386025.8227092902
2023-06-12,5.667,6.603,5.449,5.949,301891.4725613201
2023-06-19,5.956,7.458,5.882,6.961,290799.3474893702
2023-06-26,6.95,8.993,6.814,8.72,425090.9761371598
2023-07-03,8.72,8.971,7.782,8.191,227757.65152412
2023-07-10,8.207,11.43,7.792,8.897,418774.52530589973
2023-07-17,8.911,9.95,8.537,8.675,436617.67303556
2023-07-24,8.709,8.791,7.6,7.883,251412.90079068
2023-07-31,7.86,8.818,7.563,7.882,256555.3297295898
2023-08-07,7.941,8.227,7.537,7.721,136301.6629096601
2023-08-14,7.674,8.432,6.857,7.702,379015.4799018901
2023-08-21,7.738,7.968,6.903,6.958,151507.1374917901
2023-08-28,6.952,7.618,6.655,6.836,209371.8802497202
2023-09-04,6.841,7.09,6.411,6.629,178233.71238858
