timestamp,open,high,low,close,volume
2022-06-16,3.47,4.95,2.501,3.28,38537.59230792
2022-06-20,3.28,4.41,3.133,3.821,189765.65172398
2022-06-27,3.791,5.167,3.13,3.336,119843.61795625
2022-07-04,3.337,3.989,3.221,3.643,79037.23068617
2022-07-11,3.662,3.95,3.1,3.523,135190.08912188
2022-07-18,3.542,4.8,3.542,4.363,324221.62252088997
2022-07-25,4.363,4.8,3.591,4.239,543661.66688608
2022-08-01,4.247,6.136,4.035,4.992,396791.4925730598
2022-08-08,4.988,6.19,4.988,5.617,666320.7771417805
2022-08-15,5.609,5.808,4.0,4.232,628382.6257118003
2022-08-22,4.238,4.465,3.702,3.702,262798.5045631
2022-08-29,3.78,5.1,3.7,4.239,328465.5294289601
2022-09-05,4.245,5.039,3.983,4.886,601671.5327447599
2022-09-12,4.904,5.288,3.835,3.917,688570.1554645998
2022-09-19,3.918,4.157,3.223,3.649,473753.3239968098
2022-09-26,3.676,4.029,3.45,3.488,285386.6179834599
2022-10-03,3.467,3.756,3.417,3.499,200805.38906435
2022-10-10,3.533,3.547,2.77,3.024,455784.87260002
2022-10-17,3.02,3.098,2.737,2.982,540709.6512512997
2022-10-24,2.984,3.228,2.598,3.104,441413.2597249699
2022-10-31,3.108,3.436,2.84,3.093,405247.2986413799
2022-11-07,3.11,3.243,1.78,1.94,1623538.134525237
2022-11-14,1.947,2.259,1.558,1.569,770313.3047653582
2022-11-21,1.569,2.22,1.437,1.619,954860.5264411903
2022-11-28,1.619,1.898,1.49,1.734,577833.23942431
2022-12-05,1.724,1.848,1.45,1.632,455780.60270162
2022-12-12,1.638,1.778,1.03,1.366,667724.31517627
2022-12-19,1.381,1.383,1.027,1.332,545783.1599989799
2022-12-26,1.335,1.429,1.211,1.273,857690.9196059898
2023-01-02,1.275,1.692,1.237,1.652,786586.0614765901
2023-01-09,1.652,2.392,1.56,2.239,1314450.9391542906
2023-01-16,2.232,3.05,1.941,2.398,1376336.9362198901
2023-01-23,2.403,2.707,2.285,2.572,2003267.2508792807
2023-01-30,2.58,2.58,2.172,2.392,1096736.04108071
2023-02-06,2.389,2.841,2.2,2.232,1388453.221190661
2023-02-13,2.24,2.694,2.087,2.57,1523435.7662276202
2023-02-20,2.588,2.758,2.2,2.371,811810.8042799804
2023-02-27,2.368,2.415,1.99,2.027,293842.2589727801
2023-03-06,2.028,2.087,1.676,1.949,871418.76744344
2023-03-13,1.946,2.522,1.874,2.142,887937.5806872906
2023-03-20,2.159,2.159,1.883,1.966,504316.0461255298
2023-03-27,1.96,2.36,1.812,1.92,560397.0874838202
2023-04-03,1.92,2.078,1.863,2.011,681751.9443124298
2023-04-10,2.011,2.401,1.97,2.314,1271494.3258304102
2023-04-17,2.308,2.403,1.848,1.916,757336.3714818805
2023-04-24,1.912,2.128,1.784,1.936,727237.3776740097
2023-05-01,1.935,1.953,1.73,1.738,265036.3911434
2023-05-08,1.749,1.749,1.542,1.66,513287.5215553202
2023-05-15,1.645,1.715,1.611,1.618,607743.46574998
2023-05-22,1.609,1.687,1.535,1.668,575540.3433839598
2023-05-29,1.668,1.673,1.535,1.617,729823.67890662
2023-06-05,1.613,1.653,1.172,1.202,1400771.7267383204
2023-06-12,1.208,1.279,0.925,1.24,990666.6613518097
2023-06-19,1.24,1.462,1.198,1.4,599534.9934022101
2023-06-26,1.4,1.626,1.28,1.467,1545341.866638721
2023-07-03,1.469,1.485,1.288,1.329,389689.1079984
2023-07-10,1.329,1.596,1.289,1.44,776476.9106931097
2023-07-17,1.447,1.602,1.419,1.45,748118.3836072198
2023-07-24,1.456,1.462,1.319,1.393,493240.0738499401
2023-07-31,1.396,1.422,1.329,1.336,457119.69682273
2023-08-07,1.339,1.374,1.306,1.337,405361.69688448997
2023-08-14,1.343,1.457,1.089,1.173,909054.7919048705
2023-08-21,1.168,1.229,1.097,1.176,888248.69211305
2023-08-28,1.174,1.254,1.109,1.127,878899.0115891505
2023-09-04,1.126,1.184,1.106,1.147,885410.48750542
2023-09-11,1.152,1.152,1.065,1.096,1186218.7977386194
2023-09-18,1.094,1.15,1.081,1.094,921397.3226966896
2023-09-25,1.096,1.169,1.061,1.161,632793.1661056302
2023-10-02,1.164,1.171,1.063,1.094,765514.7718245299
2023-10-09,1.093,1.096,0.997,1.022,600896.4085821296
2023-10-16,1.029,1.068,0.972,1.054,562877.0514752101
2023-10-23,1.06,1.277,1.048,1.276,2262032.1657800423
2023-10-30,1.278,2.0,1.248,1.638,5428678.642760532
2023-11-06,1.65,1.802,1.319,1.7,7042289.771244725
2023-11-13,1.702,2.053,1.35,1.993,9558739.44765224
2023-11-20,1.992,2.288,1.732,1.827,5556895.382664629
2023-11-27,1.828,2.032,1.731,1.983,3183881.7501667785
2023-12-04,1.984,2.611,1.983,2.516,8754277.759575065
2023-12-11,2.519,2.541,2.021,2.265,9362640.779683325
2023-12-18,2.265,4.1,2.07,3.795,15753310.491711963
2023-12-25,3.807,4.62,3.524,3.649,9123826.117629685
2024-01-01,3.651,4.326,3.149,3.212,5727988.335883243
2024-01-08,3.227,3.842,2.95,3.305,10114496.136494074
2024-01-15,3.301,3.422,2.788,2.921,4567005.015867446
2024-01-22,2.93,3.07,2.457,2.882,6979319.726137953
2024-01-29,2.879,3.233,2.727,2.752,4034778.19236563
2024-02-05,2.75,3.22,2.684,3.127,4465002.752513228
2024-02-12,3.128,3.581,3.077,3.517,6179269.176691679
2024-02-19,3.52,3.926,3.089,3.709,7836286.55340312
2024-02-26,3.708,4.508,3.511,4.437,11057447.437180322
2024-03-04,4.45,6.503,3.562,5.96,8790007.121770062
2024-03-11,5.972,8.998,5.614,8.241,16044838.184285384
2024-03-18,8.239,8.57,6.016,7.001,11126235.446491232
2024-03-25,7.0,8.084,6.859,7.3,5690254.060212505
2024-04-01,7.299,7.5,6.0,6.917,6021109.563038533
2024-04-08,6.913,7.697,4.322,5.726,5665774.469747192
2024-04-15,5.679,6.486,4.913,6.449,5845548.116923928
2024-04-22,6.436,7.63,6.351,7.043,7753081.594686966
2024-04-29,7.04,7.512,5.724,7.496,6613717.358953431
2024-05-06,7.496,7.969,6.793,6.896,5255164.853123155
2024-05-13,6.882,8.523,6.554,7.793,5012150.190000618
2024-05-20,7.792,8.377,7.271,7.815,3611209.9764685524
2024-05-27,7.806,7.983,7.083,7.188,2927708.1171468943
2024-06-03,7.188,7.704,6.086,6.59,1736658.2798718573
2024-06-10,6.59,6.707,5.395,5.639,2132827.654811337
2024-06-17,5.641,6.29,4.462,5.184,5455117.776013938
2024-06-24,5.192,5.63,4.854,5.295,3001138.126501676
2024-07-01,5.295,5.59,3.949,4.402,3537118.5968149677
2024-07-08,4.401,5.487,4.168,5.403,2437340.401254334
2024-07-15,5.395,6.491,5.372,6.341,2661671.1191688133
2024-07-22,6.334,6.455,5.138,5.446,1974179.95190787
2024-07-29,5.443,5.71,3.994,4.13,2382594.5438232208
2024-08-05,4.133,4.26,3.075,3.863,4788735.922495386
2024-08-12,3.874,4.408,3.83,3.897,1447957.0718127096
2024-08-19,3.896,5.251,3.844,4.923,2278780.8775972296
2024-08-26,4.922,5.008,3.814,3.851,2679017.778435213
2024-09-02,3.849,4.073,3.425,3.762,1330861.1705951176
2024-09-09,3.757,4.359,3.755,4.023,1246888.5326848894
2024-09-16,4.018,4.69,3.833,4.519,2643838.3192822332
2024-09-23,4.526,5.9,4.402,5.499,7276236.285329285
