timestamp,open,high,low,close,volume
2023-01-01,37.3,37.38,36.54,37.19,1369.36916301
2023-01-02,37.09,40.15,36.61,39.4,4467.18819575
2023-01-03,39.43,40.51,39.43,40.06,3650.42849574
2023-01-04,39.96,41.5,39.91,40.7,3476.0873891
2023-01-05,40.78,41.05,39.51,39.68,1197.48244232
2023-01-06,40.13,41.53,38.87,41.39,4256.40122934
2023-01-07,41.31,42.84,40.87,41.52,5942.14666416
2023-01-08,41.31,42.75,41.0,42.54,1456.70360241
2023-01-09,42.61,44.63,42.61,43.25,3444.48694628
2023-01-10,43.23,44.14,42.24,44.07,1875.13538254
2023-01-11,44.0,44.35,42.56,44.35,2353.78994595
2023-01-12,44.35,45.92,43.08,45.21,3148.51634342
2023-01-13,45.34,45.79,43.87,45.31,1080.2203409
2023-01-14,45.43,48.56,44.3,46.64,3122.02617436
2023-01-15,46.81,46.96,44.33,44.72,2242.56242807
2023-01-16,44.98,45.85,41.54,42.59,4552.82897927
2023-01-17,42.45,45.59,41.88,44.51,6171.4442562
2023-01-18,44.71,45.63,41.15,42.84,5450.13671236
2023-01-19,43.03,45.1,42.81,44.39,4915.87237934
2023-01-20,44.33,48.54,44.2,47.98,4341.52849702
2023-01-21,48.09,49.55,47.47,47.87,5744.09440387
2023-01-22,48.06,49.82,46.36,47.29,7254.3094920601
2023-01-23,47.29,48.35,46.55,46.86,2409.25808555
2023-01-24,46.94,48.14,43.83,44.49,3158.89680928
2023-01-25,44.59,46.44,43.65,45.48,8009.56834765
2023-01-26,45.66,46.89,44.54,46.81,2823.69789087
2023-01-27,46.96,47.02,45.42,46.5,2419.84405343
2023-01-28,46.49,46.83,44.7,45.34,1862.40565061
2023-01-29,45.1,47.88,45.02,47.14,7232.69101688
2023-01-30,47.28,47.34,43.65,44.53,3466.17194145
2023-01-31,44.33,45.81,44.2,45.13,2594.78494996
2023-02-01,45.24,47.63,43.0,47.09,9252.07282013
2023-02-02,47.22,48.23,45.63,45.86,5445.08002236
2023-02-03,46.06,47.54,45.48,47.04,2162.30896216
2023-02-04,47.11,47.29,46.13,46.45,2119.50422535
2023-02-05,46.44,46.63,43.55,44.26,3093.53590975
2023-02-06,44.64,44.88,42.69,43.32,17912.6378138501
2023-02-07,43.32,46.95,43.32,46.87,3541.61997663
2023-02-08,46.86,47.05,44.58,45.27,2421.81547235
2023-02-09,45.23,45.49,42.0,42.7,5347.40585348
2023-02-10,42.72,44.57,42.37,43.44,4770.44934749
2023-02-11,43.47,46.83,43.32,45.58,2256.37143083
2023-02-12,45.67,48.42,44.35,45.92,5728.51672162
2023-02-13,46.09,46.66,42.36,43.58,7063.10444199
2023-02-14,43.38,44.09,42.04,43.6,6135.50814046
2023-02-15,43.65,46.46,43.06,46.21,4717.59008895
2023-02-16,46.19,46.99,43.23,43.26,13695.12962054
2023-02-17,44.04,45.8,44.03,45.18,19963.8737462302
2023-02-18,45.2,46.92,45.2,45.97,23057.3073980501
2023-02-19,45.96,49.54,45.61,47.9,28764.6097041902
2023-02-20,47.9,51.21,46.74,50.14,24162.1646358703
2023-02-21,50.15,50.47,47.36,49.38,24129.8131429802
2023-02-22,49.41,49.68,45.83,47.87,7107.15633687
2023-02-23,47.83,48.39,46.5,47.71,1735.98917648
2023-02-24,47.86,48.66,44.41,44.41,6777.49118551
2023-02-25,45.19,45.34,43.5,44.5,1504.76422806
2023-02-26,44.36,45.39,44.15,45.04,1433.32488144
2023-02-27,45.11,45.22,43.47,44.16,3157.56302741
2023-02-28,44.24,44.48,42.77,43.06,1169.12536341
2023-03-01,43.1,44.81,42.95,44.18,60379.5304273399
2023-03-02,44.26,44.38,42.99,43.48,7422.42751216
2023-03-03,43.63,43.65,36.51,39.58,6061.96630674
2023-03-04,39.64,39.84,37.35,38.48,3414.15554335
2023-03-05,38.43,39.27,37.83,38.06,2187.05346697
2023-03-06,37.96,38.72,37.42,38.5,6306.56888077
2023-03-07,38.5,38.86,36.51,37.62,6755.05820227
2023-03-08,37.63,37.78,35.16,35.72,4634.65643678
2023-03-09,35.91,37.03,33.02,34.21,3661.94270822
2023-03-10,34.12,34.16,30.61,32.22,10475.19431934
2023-03-11,32.37,33.08,29.97,31.59,14140.28450938
2023-03-12,31.51,37.99,30.83,34.35,20863.94054002
2023-03-13,34.38,35.71,32.71,35.24,15023.76509362
2023-03-14,35.34,37.82,34.58,36.45,20654.2872506901
2023-03-15,36.38,37.19,32.67,33.34,4767.9154245
2023-03-16,33.32,34.36,32.94,34.02,8833.49820734
2023-03-17,33.99,37.18,33.56,37.18,3955.94766552
2023-03-18,37.18,37.95,35.34,35.98,17804.89143263
2023-03-19,36.08,37.61,35.76,36.59,3696.84345015
2023-03-20,36.66,37.76,34.17,34.43,6417.90491093
2023-03-21,34.37,37.01,33.26,36.46,6206.65067751
2023-03-22,36.36,36.43,33.71,34.64,3614.31729034
2023-03-23,34.73,38.19,34.3,38.12,8224.8427072
2023-03-24,38.36,38.62,35.13,35.95,3889.47176967
2023-03-25,35.96,36.1,34.79,35.3,1611.23206924
2023-03-26,35.33,36.83,35.06,36.37,3601.02898456
2023-03-27,36.46,37.36,34.6,35.86,5699.1189653
2023-03-28,35.97,37.01,35.44,36.47,4309.08106397
2023-03-29,36.48,38.05,36.36,37.18,3721.96781465
2023-03-30,37.08,37.95,36.31,37.69,5684.95544579
2023-03-31,37.77,39.19,37.58,38.81,9084.00774577
