2026-03-04 22:27:21.577 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-04 22:27:21.581 | INFO     | __main__:main:376 - [1/234] BTC/USD 1h
2026-03-04 22:27:22.141 | INFO     | timeframe_comparison:fetch_ohlcv_timeframe:235 - Fetching BTC/USD [1h] — 1825 days...
2026-03-04 22:27:31.206 | SUCCESS  | timeframe_comparison:fetch_ohlcv_timeframe:268 - BTC/USD 1h: 721 candles (2026-02-02 -> 2026-03-04)
2026-03-04 22:27:31.224 | WARNING  | __main__:run_symbol:122 - BTC/USD 1h: 721 bars — skipping
2026-03-04 22:27:31.224 | INFO     | __main__:main:376 - [2/234] BTC/USD 4h
2026-03-04 22:27:31.225 | INFO     | timeframe_comparison:fetch_ohlcv_timeframe:235 - Fetching BTC/USD [4h] — 1825 days...
2026-03-04 22:27:40.301 | SUCCESS  | timeframe_comparison:fetch_ohlcv_timeframe:268 - BTC/USD 4h: 721 candles (2025-11-04 -> 2026-03-04)
2026-03-04 22:27:40.301 | WARNING  | __main__:run_symbol:122 - BTC/USD 4h: 721 bars — skipping
2026-03-04 22:27:40.301 | INFO     | __main__:main:376 - [3/234] BTC/USD 8h
2026-03-04 22:27:40.325 | INFO     | timeframe_comparison:fetch_ohlcv_timeframe:232 - Loaded BTC/USD 4h from cache (721 rows)
2026-03-04 22:27:40.345 | INFO     | timeframe_comparison:fetch_ohlcv_8h:313 - BTC/USD 8h (resampled): 361 candles
2026-03-04 22:27:40.345 | WARNING  | __main__:run_symbol:122 - BTC/USD 8h: 361 bars — skipping
2026-03-04 22:27:40.345 | INFO     | __main__:main:376 - [4/234] BTC/USD 1d
2026-03-04 22:27:40.349 | INFO     | timeframe_comparison:fetch_ohlcv_timeframe:235 - Fetching BTC/USD [1d] — 3650 days...
2026-03-04 22:27:49.397 | SUCCESS  | timeframe_comparison:fetch_ohlcv_timeframe:268 - BTC/USD 1d: 721 candles (2024-03-14 -> 2026-03-04)
2026-03-04 22:27:49.411 | INFO     | data.feature_engineer:build_features:338 - Building features for unknown (721 rows)
2026-03-04 22:27:49.492 | INFO     | data.feature_engineer:build_features:363 - Dropped 200 NaN/inf rows → 521 usable rows
2026-03-04 22:27:49.494 | INFO     | data.feature_engineer:build_features:366 - Label distribution: DOWN=3 NEUTRAL=513 UP=5
2026-03-04 22:27:49.494 | INFO     | data.feature_engineer:build_features:373 - Regime: ranging=232 trending_up=146 trending_down=143
2026-03-04 22:27:49.499 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for BTC/USD_1d on cuda
2026-03-04 22:27:49.500 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 312 | Val: 104 | Features: 100
2026-03-04 22:27:51.523 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 252 samples
2026-03-04 22:27:52.239 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=0.4211 | val_acc=0.9773 | lr=0.000976
2026-03-04 22:27:52.283 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=0.5730 | val_acc=0.9773 | lr=0.000905
2026-03-04 22:27:52.323 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=0.6379 | val_acc=0.9773 | lr=0.000794
2026-03-04 22:27:52.362 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=0.6604 | val_acc=0.9773 | lr=0.000655
2026-03-04 22:27:52.402 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=0.6740 | val_acc=0.9773 | lr=0.000501
2026-03-04 22:27:52.440 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=0.6841 | val_acc=0.9773 | lr=0.000346
2026-03-04 22:27:52.475 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=0.6899 | val_acc=0.9773 | lr=0.000207
2026-03-04 22:27:52.502 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=0.6930 | val_acc=0.9773 | lr=0.000096
2026-03-04 22:27:52.527 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=0.6942 | val_acc=0.9773 | lr=0.000025
2026-03-04 22:27:52.554 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=0.6945 | val_acc=0.9773 | lr=0.001000
2026-03-04 22:27:52.585 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=0.7034 | val_acc=0.9773 | lr=0.000994
2026-03-04 22:27:52.612 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=0.7161 | val_acc=0.9773 | lr=0.000976
2026-03-04 22:27:52.651 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=0.7268 | val_acc=0.9773 | lr=0.000946
2026-03-04 22:27:52.690 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=0.7359 | val_acc=0.9773 | lr=0.000905
2026-03-04 22:27:52.719 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=0.7419 | val_acc=0.9773 | lr=0.000854
2026-03-04 22:27:52.746 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=0.7451 | val_acc=0.9773 | lr=0.000794
2026-03-04 22:27:52.782 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=0.7501 | val_acc=0.9773 | lr=0.000727
2026-03-04 22:27:52.817 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=0.7545 | val_acc=0.9773 | lr=0.000655
2026-03-04 22:27:52.850 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=0.7581 | val_acc=0.9773 | lr=0.000579
2026-03-04 22:27:52.882 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=0.7608 | val_acc=0.9773 | lr=0.000501
