2026-03-06 08:27:48.370 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-06 08:27:48.382 | INFO     | __main__:validate_symbol:148 - 
============================================================
  OOT VALIDATION: AAVE/USD 4h x5 runs
============================================================
2026-03-06 08:27:48.965 | INFO     | kraken_history:get_history_dir:364 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-03-06 08:27:48.984 | INFO     | kraken_history:fetch_ohlcv_full:288 - Loading AAVE/USD 4h from data/OHLC_Kraken\AAVEUSD_240.csv...
2026-03-06 08:27:48.993 | INFO     | kraken_history:fetch_ohlcv_full:290 -   Loaded 4383 bars (2024-01-01 → 2025-12-31)
2026-03-06 08:27:48.994 | INFO     | kraken_history:fetch_ohlcv_full:299 -   History cap 730d: 4383 → 4378 bars (from 2024-01-01)
2026-03-06 08:27:48.995 | INFO     | kraken_history:_topup_from_api:176 -   Topping up AAVE/USD 4h from 2025-12-31 via API...
2026-03-06 08:27:55.106 | INFO     | kraken_history:_topup_from_api:199 -   Top-up: 387 new bars
2026-03-06 08:27:55.116 | SUCCESS  | kraken_history:fetch_ohlcv_full:314 - AAVE/USD 4h: 4765 bars total (2024-01-01 → 2026-03-06)
2026-03-06 08:27:55.131 | INFO     | data.feature_engineer:build_features:342 - Building features for unknown (4765 rows)
2026-03-06 08:27:55.214 | INFO     | data.feature_engineer:build_features:367 - Dropped 200 NaN/inf rows → 4565 usable rows
2026-03-06 08:27:55.216 | INFO     | data.feature_engineer:build_features:370 - Label distribution: DOWN=659 NEUTRAL=3171 UP=735
2026-03-06 08:27:55.216 | INFO     | data.feature_engineer:build_features:377 - Regime: ranging=1902 trending_up=1279 trending_down=1384
2026-03-06 08:27:55.219 | INFO     | __main__:run_once:92 - 
Run 1/5 | AAVE/USD
2026-03-06 08:27:55.220 | INFO     | __main__:run_once:93 -   OOT:     913 bars (152 days)
2026-03-06 08:27:55.220 | INFO     | __main__:run_once:94 -   Train:  2191 bars
2026-03-06 08:27:55.220 | INFO     | __main__:run_once:95 -   Val:     730 bars
2026-03-06 08:27:55.220 | INFO     | __main__:run_once:96 -   Test:    731 bars (121 days)
2026-03-06 08:27:55.223 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for AAVE/USD on cuda
2026-03-06 08:27:55.224 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 2191 | Val: 730 | Features: 100
2026-03-06 08:27:56.906 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 2131 samples
2026-03-06 08:27:57.552 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.1767 | val_acc=0.2552 | lr=0.000976
2026-03-06 08:27:57.776 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.1385 | val_acc=0.3075 | lr=0.000905
2026-03-06 08:27:57.998 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.2133 | val_acc=0.2970 | lr=0.000794
2026-03-06 08:27:58.219 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.2785 | val_acc=0.3896 | lr=0.000655
2026-03-06 08:27:58.425 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.3887 | val_acc=0.3284 | lr=0.000501
2026-03-06 08:27:58.641 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.4924 | val_acc=0.3925 | lr=0.000346
2026-03-06 08:27:58.852 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=1.4538 | val_acc=0.4179 | lr=0.000207
2026-03-06 08:27:59.066 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=1.4915 | val_acc=0.4567 | lr=0.000096
2026-03-06 08:27:59.276 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=1.5210 | val_acc=0.5119 | lr=0.000025
2026-03-06 08:27:59.485 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=1.5189 | val_acc=0.5119 | lr=0.001000
2026-03-06 08:27:59.690 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=1.9978 | val_acc=0.3672 | lr=0.000994
2026-03-06 08:27:59.912 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=1.5936 | val_acc=0.5045 | lr=0.000976
2026-03-06 08:28:00.137 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=1.6736 | val_acc=0.4090 | lr=0.000946
2026-03-06 08:28:00.347 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=1.7733 | val_acc=0.4507 | lr=0.000905
2026-03-06 08:28:00.562 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=2.0714 | val_acc=0.5687 | lr=0.000854
2026-03-06 08:28:00.774 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=1.9765 | val_acc=0.5776 | lr=0.000794
2026-03-06 08:28:00.981 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=2.0068 | val_acc=0.5881 | lr=0.000727
2026-03-06 08:28:01.193 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=2.1450 | val_acc=0.5149 | lr=0.000655
