2026-03-06 20:03:32.229 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-06 20:03:32.234 | INFO     | __main__:validate_symbol:148 - 
============================================================
  OOT VALIDATION: ETH/USD 4h x5 runs
============================================================
2026-03-06 20:03:32.675 | INFO     | kraken_history:get_history_dir:364 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-03-06 20:03:32.690 | INFO     | kraken_history:fetch_ohlcv_full:288 - Loading ETH/USD 4h from data/OHLC_Kraken\ETHUSD_240.csv...
2026-03-06 20:03:32.707 | INFO     | kraken_history:fetch_ohlcv_full:290 -   Loaded 4383 bars (2024-01-01 → 2025-12-31)
2026-03-06 20:03:32.708 | INFO     | kraken_history:fetch_ohlcv_full:299 -   History cap 730d: 4383 → 4378 bars (from 2024-01-01)
2026-03-06 20:03:32.708 | INFO     | kraken_history:_topup_from_api:176 -   Topping up ETH/USD 4h from 2025-12-31 via API...
2026-03-06 20:03:38.891 | INFO     | kraken_history:_topup_from_api:199 -   Top-up: 390 new bars
2026-03-06 20:03:38.903 | SUCCESS  | kraken_history:fetch_ohlcv_full:314 - ETH/USD 4h: 4768 bars total (2024-01-01 → 2026-03-06)
2026-03-06 20:03:38.930 | INFO     | data.feature_engineer:build_features:342 - Building features for unknown (4768 rows)
2026-03-06 20:03:39.006 | INFO     | data.feature_engineer:build_features:367 - Dropped 200 NaN/inf rows → 4568 usable rows
2026-03-06 20:03:39.007 | INFO     | data.feature_engineer:build_features:370 - Label distribution: DOWN=454 NEUTRAL=3646 UP=468
2026-03-06 20:03:39.008 | INFO     | data.feature_engineer:build_features:377 - Regime: ranging=1726 trending_up=1149 trending_down=1693
2026-03-06 20:03:39.011 | INFO     | __main__:run_once:92 - 
Run 1/5 | ETH/USD
2026-03-06 20:03:39.011 | INFO     | __main__:run_once:93 -   OOT:     913 bars (152 days)
2026-03-06 20:03:39.011 | INFO     | __main__:run_once:94 -   Train:  2192 bars
2026-03-06 20:03:39.011 | INFO     | __main__:run_once:95 -   Val:     730 bars
2026-03-06 20:03:39.013 | INFO     | __main__:run_once:96 -   Test:    733 bars (122 days)
2026-03-06 20:03:39.016 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for ETH/USD on cuda
2026-03-06 20:03:39.017 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 2192 | Val: 730 | Features: 100
2026-03-06 20:03:40.270 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 2132 samples
2026-03-06 20:03:40.769 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.2018 | val_acc=0.3597 | lr=0.000976
2026-03-06 20:03:41.014 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.3128 | val_acc=0.4701 | lr=0.000905
2026-03-06 20:03:41.243 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.6255 | val_acc=0.5194 | lr=0.000794
2026-03-06 20:03:41.461 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.5338 | val_acc=0.4567 | lr=0.000655
2026-03-06 20:03:41.672 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.7703 | val_acc=0.6522 | lr=0.000501
2026-03-06 20:03:41.888 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.9714 | val_acc=0.5000 | lr=0.000346
2026-03-06 20:03:42.117 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=1.9540 | val_acc=0.5478 | lr=0.000207
2026-03-06 20:03:42.332 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=1.9864 | val_acc=0.5731 | lr=0.000096
2026-03-06 20:03:42.548 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=2.0965 | val_acc=0.5657 | lr=0.000025
2026-03-06 20:03:42.755 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=2.1048 | val_acc=0.5657 | lr=0.001000
2026-03-06 20:03:42.968 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=2.1509 | val_acc=0.6776 | lr=0.000994
2026-03-06 20:03:43.195 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=2.1534 | val_acc=0.5418 | lr=0.000976
2026-03-06 20:03:43.413 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=2.0609 | val_acc=0.6119 | lr=0.000946
2026-03-06 20:03:43.622 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=2.2773 | val_acc=0.4701 | lr=0.000905
2026-03-06 20:03:43.845 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=2.3503 | val_acc=0.6179 | lr=0.000854
2026-03-06 20:03:44.062 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=2.2629 | val_acc=0.6552 | lr=0.000794
2026-03-06 20:03:44.273 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=2.4588 | val_acc=0.6090 | lr=0.000727
2026-03-06 20:03:44.493 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=2.5017 | val_acc=0.5701 | lr=0.000655
