2026-03-06 20:08:59.356 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-06 20:08:59.358 | INFO     | __main__:validate_symbol:148 - 
============================================================
  OOT VALIDATION: OP/USD 4h x5 runs
============================================================
2026-03-06 20:08:59.784 | INFO     | kraken_history:get_history_dir:364 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-03-06 20:08:59.804 | INFO     | kraken_history:fetch_ohlcv_full:288 - Loading OP/USD 4h from data/OHLC_Kraken\OPUSD_240.csv...
2026-03-06 20:08:59.806 | INFO     | kraken_history:fetch_ohlcv_full:290 -   Loaded 4383 bars (2024-01-01 → 2025-12-31)
2026-03-06 20:08:59.814 | INFO     | kraken_history:fetch_ohlcv_full:299 -   History cap 730d: 4383 → 4378 bars (from 2024-01-01)
2026-03-06 20:08:59.814 | INFO     | kraken_history:_topup_from_api:176 -   Topping up OP/USD 4h from 2025-12-31 via API...
2026-03-06 20:09:05.907 | INFO     | kraken_history:_topup_from_api:199 -   Top-up: 390 new bars
2026-03-06 20:09:05.921 | SUCCESS  | kraken_history:fetch_ohlcv_full:314 - OP/USD 4h: 4768 bars total (2024-01-01 → 2026-03-06)
2026-03-06 20:09:05.944 | INFO     | data.feature_engineer:build_features:342 - Building features for unknown (4768 rows)
2026-03-06 20:09:06.011 | INFO     | data.feature_engineer:build_features:367 - Dropped 200 NaN/inf rows → 4568 usable rows
2026-03-06 20:09:06.011 | INFO     | data.feature_engineer:build_features:370 - Label distribution: DOWN=832 NEUTRAL=3019 UP=717
2026-03-06 20:09:06.011 | INFO     | data.feature_engineer:build_features:377 - Regime: ranging=1836 trending_up=1057 trending_down=1675
2026-03-06 20:09:06.024 | INFO     | __main__:run_once:92 - 
Run 1/5 | OP/USD
2026-03-06 20:09:06.024 | INFO     | __main__:run_once:93 -   OOT:     913 bars (152 days)
2026-03-06 20:09:06.024 | INFO     | __main__:run_once:94 -   Train:  2192 bars
2026-03-06 20:09:06.024 | INFO     | __main__:run_once:95 -   Val:     730 bars
2026-03-06 20:09:06.027 | INFO     | __main__:run_once:96 -   Test:    733 bars (122 days)
2026-03-06 20:09:06.030 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for OP/USD on cuda
2026-03-06 20:09:06.030 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 2192 | Val: 730 | Features: 100
2026-03-06 20:09:07.242 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 2132 samples
2026-03-06 20:09:07.714 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.1886 | val_acc=0.1851 | lr=0.000976
2026-03-06 20:09:07.940 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.1552 | val_acc=0.2731 | lr=0.000905
2026-03-06 20:09:08.178 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.2621 | val_acc=0.3134 | lr=0.000794
2026-03-06 20:09:08.400 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.2802 | val_acc=0.3194 | lr=0.000655
2026-03-06 20:09:08.615 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.3918 | val_acc=0.3090 | lr=0.000501
2026-03-06 20:09:08.827 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.4418 | val_acc=0.3731 | lr=0.000346
2026-03-06 20:09:09.037 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=1.4789 | val_acc=0.3463 | lr=0.000207
2026-03-06 20:09:09.253 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=1.5015 | val_acc=0.3507 | lr=0.000096
2026-03-06 20:09:09.467 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=1.5669 | val_acc=0.3403 | lr=0.000025
2026-03-06 20:09:09.671 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=1.5384 | val_acc=0.3418 | lr=0.001000
2026-03-06 20:09:09.885 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=1.7681 | val_acc=0.2881 | lr=0.000994
2026-03-06 20:09:10.114 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=1.5382 | val_acc=0.3701 | lr=0.000976
2026-03-06 20:09:10.365 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=1.8291 | val_acc=0.3343 | lr=0.000946
2026-03-06 20:09:10.571 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=1.6919 | val_acc=0.3612 | lr=0.000905
2026-03-06 20:09:10.788 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=1.7640 | val_acc=0.3239 | lr=0.000854
2026-03-06 20:09:11.000 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=1.8390 | val_acc=0.4493 | lr=0.000794
2026-03-06 20:09:11.214 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=1.8581 | val_acc=0.3433 | lr=0.000727
2026-03-06 20:09:11.425 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=1.9166 | val_acc=0.4433 | lr=0.000655
2026-03-06 20:09:11.641 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=1.9319 | val_acc=0.3925 | lr=0.000579
2026-03-06 20:09:11.851 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=2.1153 | val_acc=0.4687 | lr=0.000501
2026-03-06 20:09:12.066 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  20 | val_loss=2.2626 | val_acc=0.4657 | lr=0.000422
2026-03-06 20:09:12.280 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  21 | val_loss=2.2790 | val_acc=0.4224 | lr=0.000346
2026-03-06 20:09:12.493 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  22 | val_loss=2.3915 | val_acc=0.4328 | lr=0.000274
2026-03-06 20:09:12.704 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  23 | val_loss=2.4538 | val_acc=0.4269 | lr=0.000207
2026-03-06 20:09:12.915 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  24 | val_loss=2.4940 | val_acc=0.4269 | lr=0.000147
2026-03-06 20:09:13.127 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  25 | val_loss=2.5461 | val_acc=0.4433 | lr=0.000096
2026-03-06 20:09:13.341 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  26 | val_loss=2.5634 | val_acc=0.4552 | lr=0.000055
2026-03-06 20:09:13.341 | INFO     | models.lstm_ensemble:_train_one:163 -     Early stop at epoch 26
2026-03-06 20:09:13.341 | INFO     | models.lstm_ensemble:_train_one:167 -   [1/9] Best val_loss: 1.1552
2026-03-06 20:09:13.383 | INFO     | models.lstm_ensemble:_train_one:126 -   [2/9] Training seed=179 — 2132 samples
2026-03-06 20:09:13.593 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.1981 | val_acc=0.2149 | lr=0.000976
2026-03-06 20:09:13.815 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.3069 | val_acc=0.3015 | lr=0.000905
2026-03-06 20:09:14.034 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.4208 | val_acc=0.2373 | lr=0.000794
2026-03-06 20:09:14.248 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.5990 | val_acc=0.2881 | lr=0.000655
2026-03-06 20:09:14.455 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.7799 | val_acc=0.2940 | lr=0.000501
2026-03-06 20:09:14.673 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.6735 | val_acc=0.2985 | lr=0.000346
2026-03-06 20:09:14.883 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=1.7457 | val_acc=0.2791 | lr=0.000207
2026-03-06 20:09:15.101 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=1.8015 | val_acc=0.3224 | lr=0.000096
2026-03-06 20:09:15.311 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=1.7689 | val_acc=0.2881 | lr=0.000025
2026-03-06 20:09:15.521 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=1.7990 | val_acc=0.2881 | lr=0.001000
2026-03-06 20:09:15.729 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=1.6973 | val_acc=0.2806 | lr=0.000994
2026-03-06 20:09:15.950 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=1.7508 | val_acc=0.3030 | lr=0.000976
2026-03-06 20:09:16.163 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=1.9203 | val_acc=0.3403 | lr=0.000946
2026-03-06 20:09:16.372 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=2.0362 | val_acc=0.3015 | lr=0.000905
2026-03-06 20:09:16.581 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=2.1430 | val_acc=0.3403 | lr=0.000854
2026-03-06 20:09:16.796 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=2.1024 | val_acc=0.3612 | lr=0.000794
2026-03-06 20:09:17.013 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=2.2760 | val_acc=0.3627 | lr=0.000727
2026-03-06 20:09:17.225 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=2.2420 | val_acc=0.3940 | lr=0.000655
2026-03-06 20:09:17.440 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=2.3667 | val_acc=0.3552 | lr=0.000579
2026-03-06 20:09:17.655 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=2.2812 | val_acc=0.3254 | lr=0.000501
2026-03-06 20:09:17.865 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  20 | val_loss=2.3851 | val_acc=0.3582 | lr=0.000422
2026-03-06 20:09:18.081 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  21 | val_loss=2.3490 | val_acc=0.3776 | lr=0.000346
2026-03-06 20:09:18.287 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  22 | val_loss=2.3726 | val_acc=0.3761 | lr=0.000274
2026-03-06 20:09:18.507 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  23 | val_loss=2.4805 | val_acc=0.3716 | lr=0.000207
2026-03-06 20:09:18.720 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  24 | val_loss=2.5292 | val_acc=0.3836 | lr=0.000147
2026-03-06 20:09:18.935 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  25 | val_loss=2.5565 | val_acc=0.3955 | lr=0.000096
2026-03-06 20:09:18.935 | INFO     | models.lstm_ensemble:_train_one:163 -     Early stop at epoch 25
2026-03-06 20:09:18.935 | INFO     | models.lstm_ensemble:_train_one:167 -   [2/9] Best val_loss: 1.1981
2026-03-06 20:09:18.973 | INFO     | models.lstm_ensemble:_train_one:126 -   [3/9] Training seed=316 — 2132 samples
2026-03-06 20:09:19.189 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.0885 | val_acc=0.4209 | lr=0.000976
2026-03-06 20:09:19.405 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.1223 | val_acc=0.3075 | lr=0.000905
2026-03-06 20:09:19.615 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.3463 | val_acc=0.3343 | lr=0.000794
2026-03-06 20:09:19.823 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.3927 | val_acc=0.3522 | lr=0.000655
