2026-03-07 12:17:50.386 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-07 12:17:50.389 | INFO     | __main__:validate_symbol:116 - 
=================================================================
  OOT VALIDATION: XLM/USD 4h — 3 walk-forward folds
=================================================================
2026-03-07 12:17:51.493 | INFO     | kraken_history:get_history_dir:364 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-03-07 12:17:51.526 | INFO     | kraken_history:fetch_ohlcv_full:288 - Loading XLM/USD 4h from data/OHLC_Kraken\XLMUSD_240.csv...
2026-03-07 12:17:51.544 | INFO     | kraken_history:fetch_ohlcv_full:290 -   Loaded 4383 bars (2024-01-01 → 2025-12-31)
2026-03-07 12:17:51.544 | INFO     | kraken_history:fetch_ohlcv_full:299 -   History cap 730d: 4383 → 4378 bars (from 2024-01-01)
2026-03-07 12:17:51.546 | INFO     | kraken_history:_topup_from_api:176 -   Topping up XLM/USD 4h from 2025-12-31 via API...
2026-03-07 12:17:57.602 | INFO     | kraken_history:_topup_from_api:199 -   Top-up: 394 new bars
2026-03-07 12:17:57.614 | SUCCESS  | kraken_history:fetch_ohlcv_full:314 - XLM/USD 4h: 4772 bars total (2024-01-01 → 2026-03-07)
2026-03-07 12:17:57.639 | INFO     | data.feature_engineer:build_features:342 - Building features for unknown (4772 rows)
2026-03-07 12:17:57.723 | INFO     | data.feature_engineer:build_features:367 - Dropped 200 NaN/inf rows → 4572 usable rows
2026-03-07 12:17:57.726 | INFO     | data.feature_engineer:build_features:370 - Label distribution: DOWN=469 NEUTRAL=3625 UP=478
2026-03-07 12:17:57.727 | INFO     | data.feature_engineer:build_features:377 - Regime: ranging=1858 trending_up=999 trending_down=1715
2026-03-07 12:17:57.731 | INFO     | __main__:validate_symbol:136 -   OOT window (fixed): 548 bars [2024-02-04→2024-05-05]
2026-03-07 12:17:57.731 | INFO     | __main__:validate_symbol:137 -   Remaining for WF:   4024 bars
2026-03-07 12:17:57.731 | INFO     | __main__:validate_symbol:138 -   Walk-forward folds: 3

2026-03-07 12:17:57.731 | INFO     | __main__:validate_symbol:161 - 
  ── Fold 1/3 ──────────────────────────────────────────
2026-03-07 12:17:57.731 | INFO     | __main__:validate_symbol:162 -   Train: [548:3475] = 2927 bars
2026-03-07 12:17:57.732 | INFO     | __main__:validate_symbol:163 -   Val:   [3475:4115] = 640 bars
2026-03-07 12:17:57.732 | INFO     | __main__:validate_symbol:164 -   Test:  [4115:4572] = 457 bars
2026-03-07 12:17:57.738 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for XLM/USD_4h_fold1 on cuda
2026-03-07 12:17:57.738 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 2927 | Val: 640 | Features: 100
2026-03-07 12:17:59.684 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 2867 samples
2026-03-07 12:18:00.682 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=0.9446 | val_acc=0.7052 | lr=0.000976
2026-03-07 12:18:01.021 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.0247 | val_acc=0.5741 | lr=0.000905
2026-03-07 12:18:01.327 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.1161 | val_acc=0.5293 | lr=0.000794
2026-03-07 12:18:01.609 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.1842 | val_acc=0.6534 | lr=0.000655
2026-03-07 12:18:01.880 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.3090 | val_acc=0.6500 | lr=0.000501
2026-03-07 12:18:02.150 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.3752 | val_acc=0.6345 | lr=0.000346
2026-03-07 12:18:02.417 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=1.4503 | val_acc=0.6845 | lr=0.000207
2026-03-07 12:18:02.682 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=1.5775 | val_acc=0.6793 | lr=0.000096
2026-03-07 12:18:02.954 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=1.5836 | val_acc=0.6690 | lr=0.000025
2026-03-07 12:18:03.222 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=1.5948 | val_acc=0.6793 | lr=0.001000
2026-03-07 12:18:03.490 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=1.5075 | val_acc=0.6603 | lr=0.000994
2026-03-07 12:18:03.756 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=1.6950 | val_acc=0.6672 | lr=0.000976
2026-03-07 12:18:04.028 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=1.6135 | val_acc=0.6172 | lr=0.000946
2026-03-07 12:18:04.293 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=1.8638 | val_acc=0.6914 | lr=0.000905
2026-03-07 12:18:04.557 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=1.7546 | val_acc=0.6569 | lr=0.000854
2026-03-07 12:18:04.829 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=1.8685 | val_acc=0.6741 | lr=0.000794
2026-03-07 12:18:05.097 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=1.9685 | val_acc=0.6690 | lr=0.000727
2026-03-07 12:18:05.366 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=2.1820 | val_acc=0.6690 | lr=0.000655
2026-03-07 12:18:05.627 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=2.1869 | val_acc=0.6466 | lr=0.000579
2026-03-07 12:18:05.902 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=2.3437 | val_acc=0.6793 | lr=0.000501
2026-03-07 12:18:06.175 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  20 | val_loss=2.4403 | val_acc=0.6828 | lr=0.000422
2026-03-07 12:18:06.441 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  21 | val_loss=2.5429 | val_acc=0.6983 | lr=0.000346
2026-03-07 12:18:06.708 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  22 | val_loss=2.6279 | val_acc=0.7034 | lr=0.000274
2026-03-07 12:18:06.970 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  23 | val_loss=2.7425 | val_acc=0.7034 | lr=0.000207
2026-03-07 12:18:07.244 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  24 | val_loss=2.7818 | val_acc=0.6897 | lr=0.000147
2026-03-07 12:18:07.510 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  25 | val_loss=2.9334 | val_acc=0.6983 | lr=0.000096
2026-03-07 12:18:07.510 | INFO     | models.lstm_ensemble:_train_one:163 -     Early stop at epoch 25
2026-03-07 12:18:07.513 | INFO     | models.lstm_ensemble:_train_one:167 -   [1/9] Best val_loss: 0.9446
2026-03-07 12:18:07.554 | INFO     | models.lstm_ensemble:_train_one:126 -   [2/9] Training seed=179 — 2867 samples
2026-03-07 12:18:07.825 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=0.9868 | val_acc=0.5672 | lr=0.000976
2026-03-07 12:18:08.119 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.0092 | val_acc=0.6431 | lr=0.000905
2026-03-07 12:18:08.393 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.0673 | val_acc=0.6931 | lr=0.000794
2026-03-07 12:18:08.662 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.1928 | val_acc=0.7086 | lr=0.000655
2026-03-07 12:18:08.932 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.2837 | val_acc=0.6397 | lr=0.000501
2026-03-07 12:18:09.201 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.4261 | val_acc=0.7121 | lr=0.000346
2026-03-07 12:18:09.470 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=1.4284 | val_acc=0.6414 | lr=0.000207
2026-03-07 12:18:09.743 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=1.4977 | val_acc=0.6379 | lr=0.000096
2026-03-07 12:18:10.014 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=1.5559 | val_acc=0.6552 | lr=0.000025
2026-03-07 12:18:10.287 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=1.5698 | val_acc=0.6517 | lr=0.001000
2026-03-07 12:18:10.557 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=1.5757 | val_acc=0.6690 | lr=0.000994
2026-03-07 12:18:10.829 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=1.5687 | val_acc=0.6741 | lr=0.000976
2026-03-07 12:18:11.097 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=1.6827 | val_acc=0.5724 | lr=0.000946
2026-03-07 12:18:11.365 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=1.9356 | val_acc=0.6879 | lr=0.000905
2026-03-07 12:18:11.631 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=1.8887 | val_acc=0.6310 | lr=0.000854
2026-03-07 12:18:11.901 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=2.0913 | val_acc=0.6638 | lr=0.000794
2026-03-07 12:18:12.169 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=2.3181 | val_acc=0.7034 | lr=0.000727
2026-03-07 12:18:12.438 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=2.3367 | val_acc=0.6276 | lr=0.000655
2026-03-07 12:18:12.708 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=2.3270 | val_acc=0.6466 | lr=0.000579
2026-03-07 12:18:12.977 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=2.4522 | val_acc=0.6224 | lr=0.000501
2026-03-07 12:18:13.249 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  20 | val_loss=2.4319 | val_acc=0.6603 | lr=0.000422
2026-03-07 12:18:13.516 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  21 | val_loss=2.6976 | val_acc=0.6638 | lr=0.000346
2026-03-07 12:18:13.785 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  22 | val_loss=2.8612 | val_acc=0.6810 | lr=0.000274
2026-03-07 12:18:14.055 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  23 | val_loss=2.8544 | val_acc=0.6655 | lr=0.000207
