2026-03-07 12:21:15.497 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-07 12:21:15.507 | INFO     | __main__:validate_symbol:116 - 
=================================================================
  OOT VALIDATION: SNX/USD 1h — 3 walk-forward folds
=================================================================
2026-03-07 12:21:16.047 | INFO     | kraken_history:get_history_dir:364 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-03-07 12:21:16.064 | INFO     | kraken_history:fetch_ohlcv_full:288 - Loading SNX/USD 1h from data/OHLC_Kraken\SNXUSD_60.csv...
2026-03-07 12:21:16.109 | INFO     | kraken_history:fetch_ohlcv_full:290 -   Loaded 44936 bars (2020-09-17 → 2025-12-31)
2026-03-07 12:21:16.110 | INFO     | kraken_history:fetch_ohlcv_full:299 -   History cap 365d: 44936 → 8580 bars (from 2024-12-31)
2026-03-07 12:21:16.111 | INFO     | kraken_history:_topup_from_api:176 -   Topping up SNX/USD 1h from 2025-12-31 via API...
2026-03-07 12:21:22.171 | INFO     | kraken_history:_topup_from_api:199 -   Top-up: 720 new bars
2026-03-07 12:21:22.180 | SUCCESS  | kraken_history:fetch_ohlcv_full:314 - SNX/USD 1h: 9300 bars total (2024-12-31 → 2026-03-07)
2026-03-07 12:21:22.223 | INFO     | data.feature_engineer:build_features:342 - Building features for unknown (9300 rows)
2026-03-07 12:21:22.325 | INFO     | data.feature_engineer:build_features:367 - Dropped 200 NaN/inf rows → 9100 usable rows
2026-03-07 12:21:22.325 | INFO     | data.feature_engineer:build_features:370 - Label distribution: DOWN=3333 NEUTRAL=3205 UP=2562
2026-03-07 12:21:22.327 | INFO     | data.feature_engineer:build_features:377 - Regime: ranging=4340 trending_up=1981 trending_down=2779
2026-03-07 12:21:22.332 | INFO     | __main__:validate_symbol:136 -   OOT window (fixed): 1092 bars [2025-01-09→2025-02-24]
2026-03-07 12:21:22.332 | INFO     | __main__:validate_symbol:137 -   Remaining for WF:   8008 bars
2026-03-07 12:21:22.332 | INFO     | __main__:validate_symbol:138 -   Walk-forward folds: 3

2026-03-07 12:21:22.334 | INFO     | __main__:validate_symbol:161 - 
  ── Fold 1/3 ──────────────────────────────────────────
2026-03-07 12:21:22.334 | INFO     | __main__:validate_symbol:162 -   Train: [1092:6916] = 5824 bars
2026-03-07 12:21:22.334 | INFO     | __main__:validate_symbol:163 -   Val:   [6916:8190] = 1274 bars
2026-03-07 12:21:22.334 | INFO     | __main__:validate_symbol:164 -   Test:  [8190:9100] = 910 bars
2026-03-07 12:21:22.345 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for SNX/USD_1h_fold1 on cuda
2026-03-07 12:21:22.346 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 5824 | Val: 1274 | Features: 100
2026-03-07 12:21:23.856 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 5764 samples
2026-03-07 12:21:24.672 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.2690 | val_acc=0.3171 | lr=0.000976
2026-03-07 12:21:25.271 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.8425 | val_acc=0.2924 | lr=0.000905
2026-03-07 12:21:25.828 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=2.5202 | val_acc=0.2867 | lr=0.000794
2026-03-07 12:21:26.376 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=2.6839 | val_acc=0.3155 | lr=0.000655
2026-03-07 12:21:26.932 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=2.7093 | val_acc=0.3311 | lr=0.000501
2026-03-07 12:21:27.480 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=3.8209 | val_acc=0.2858 | lr=0.000346
2026-03-07 12:21:28.033 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=3.3988 | val_acc=0.3130 | lr=0.000207
2026-03-07 12:21:28.582 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=3.6440 | val_acc=0.3031 | lr=0.000096
2026-03-07 12:21:29.121 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=3.8098 | val_acc=0.3196 | lr=0.000025
2026-03-07 12:21:29.676 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=3.8109 | val_acc=0.3287 | lr=0.001000
2026-03-07 12:21:30.232 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=3.0119 | val_acc=0.3064 | lr=0.000994
2026-03-07 12:21:30.780 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=3.0442 | val_acc=0.3171 | lr=0.000976
2026-03-07 12:21:31.325 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=3.4001 | val_acc=0.3089 | lr=0.000946
2026-03-07 12:21:31.871 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=3.4433 | val_acc=0.3245 | lr=0.000905
2026-03-07 12:21:32.419 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=3.3649 | val_acc=0.3105 | lr=0.000854
2026-03-07 12:21:32.967 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=3.6633 | val_acc=0.3163 | lr=0.000794
2026-03-07 12:21:33.515 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=3.7038 | val_acc=0.3196 | lr=0.000727
2026-03-07 12:21:34.066 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=4.0768 | val_acc=0.3105 | lr=0.000655
2026-03-07 12:21:34.615 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=3.9003 | val_acc=0.3221 | lr=0.000579
2026-03-07 12:21:35.161 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=4.0681 | val_acc=0.3320 | lr=0.000501
