2026-03-07 12:27:53.204 | INFO     | models.lstm_ensemble:<module>:39 - Ensemble using cuda
2026-03-07 12:27:53.206 | INFO     | __main__:validate_symbol:116 - 
=================================================================
  OOT VALIDATION: AVAX/USD 4h — 3 walk-forward folds
=================================================================
2026-03-07 12:27:53.648 | INFO     | kraken_history:get_history_dir:364 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-03-07 12:27:53.662 | INFO     | kraken_history:fetch_ohlcv_full:288 - Loading AVAX/USD 4h from data/OHLC_Kraken\AVAXUSD_240.csv...
2026-03-07 12:27:53.672 | INFO     | kraken_history:fetch_ohlcv_full:290 -   Loaded 4383 bars (2024-01-01 → 2025-12-31)
2026-03-07 12:27:53.673 | INFO     | kraken_history:fetch_ohlcv_full:299 -   History cap 730d: 4383 → 4378 bars (from 2024-01-01)
2026-03-07 12:27:53.674 | INFO     | kraken_history:_topup_from_api:176 -   Topping up AVAX/USD 4h from 2025-12-31 via API...
2026-03-07 12:27:59.727 | INFO     | kraken_history:_topup_from_api:199 -   Top-up: 394 new bars
2026-03-07 12:27:59.736 | SUCCESS  | kraken_history:fetch_ohlcv_full:314 - AVAX/USD 4h: 4772 bars total (2024-01-01 → 2026-03-07)
2026-03-07 12:27:59.760 | INFO     | data.feature_engineer:build_features:342 - Building features for unknown (4772 rows)
2026-03-07 12:27:59.839 | INFO     | data.feature_engineer:build_features:367 - Dropped 200 NaN/inf rows → 4572 usable rows
2026-03-07 12:27:59.841 | INFO     | data.feature_engineer:build_features:370 - Label distribution: DOWN=686 NEUTRAL=3195 UP=691
2026-03-07 12:27:59.841 | INFO     | data.feature_engineer:build_features:377 - Regime: ranging=1685 trending_up=1217 trending_down=1670
2026-03-07 12:27:59.844 | INFO     | __main__:validate_symbol:136 -   OOT window (fixed): 548 bars [2024-02-04→2024-05-05]
2026-03-07 12:27:59.845 | INFO     | __main__:validate_symbol:137 -   Remaining for WF:   4024 bars
2026-03-07 12:27:59.845 | INFO     | __main__:validate_symbol:138 -   Walk-forward folds: 3

2026-03-07 12:27:59.845 | INFO     | __main__:validate_symbol:161 - 
  ── Fold 1/3 ──────────────────────────────────────────
2026-03-07 12:27:59.846 | INFO     | __main__:validate_symbol:162 -   Train: [548:3475] = 2927 bars
2026-03-07 12:27:59.846 | INFO     | __main__:validate_symbol:163 -   Val:   [3475:4115] = 640 bars
2026-03-07 12:27:59.846 | INFO     | __main__:validate_symbol:164 -   Test:  [4115:4572] = 457 bars
2026-03-07 12:27:59.853 | INFO     | models.lstm_ensemble:train_ensemble:181 - 
Training 9-model ensemble for AVAX/USD_4h_fold1 on cuda
2026-03-07 12:27:59.854 | INFO     | models.lstm_ensemble:train_ensemble:182 -   Train: 2927 | Val: 640 | Features: 100
2026-03-07 12:28:01.100 | INFO     | models.lstm_ensemble:_train_one:126 -   [1/9] Training seed=42 — 2867 samples
2026-03-07 12:28:01.635 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   0 | val_loss=1.1904 | val_acc=0.3741 | lr=0.000976
2026-03-07 12:28:01.932 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   1 | val_loss=1.2954 | val_acc=0.3741 | lr=0.000905
2026-03-07 12:28:02.216 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   2 | val_loss=1.4429 | val_acc=0.2966 | lr=0.000794
2026-03-07 12:28:02.486 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   3 | val_loss=1.5031 | val_acc=0.3741 | lr=0.000655
2026-03-07 12:28:02.772 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   4 | val_loss=1.9230 | val_acc=0.2534 | lr=0.000501
2026-03-07 12:28:03.051 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   5 | val_loss=1.9312 | val_acc=0.3741 | lr=0.000346
2026-03-07 12:28:03.322 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   6 | val_loss=2.0279 | val_acc=0.4172 | lr=0.000207
2026-03-07 12:28:03.600 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   7 | val_loss=2.1126 | val_acc=0.3655 | lr=0.000096
2026-03-07 12:28:03.879 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   8 | val_loss=2.1993 | val_acc=0.3862 | lr=0.000025
2026-03-07 12:28:04.158 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch   9 | val_loss=2.2258 | val_acc=0.3810 | lr=0.001000
2026-03-07 12:28:04.429 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  10 | val_loss=2.1812 | val_acc=0.3707 | lr=0.000994
2026-03-07 12:28:04.706 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  11 | val_loss=2.3710 | val_acc=0.3414 | lr=0.000976
2026-03-07 12:28:04.978 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  12 | val_loss=2.4244 | val_acc=0.4397 | lr=0.000946
2026-03-07 12:28:05.258 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  13 | val_loss=2.3586 | val_acc=0.4741 | lr=0.000905
2026-03-07 12:28:05.530 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  14 | val_loss=2.5489 | val_acc=0.4172 | lr=0.000854
2026-03-07 12:28:05.812 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  15 | val_loss=2.8504 | val_acc=0.4897 | lr=0.000794
2026-03-07 12:28:06.090 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  16 | val_loss=2.8481 | val_acc=0.4707 | lr=0.000727
2026-03-07 12:28:06.367 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  17 | val_loss=2.7979 | val_acc=0.5466 | lr=0.000655
2026-03-07 12:28:06.640 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  18 | val_loss=2.8450 | val_acc=0.4966 | lr=0.000579
2026-03-07 12:28:06.920 | INFO     | models.lstm_ensemble:_train_one:153 -     Epoch  19 | val_loss=3.0480 | val_acc=0.5828 | lr=0.000501
