2026-04-16 17:23:49.381 | INFO     | kraken_history:get_history_dir:597 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-04-16 17:23:49.381 | INFO     | kraken_history:fetch_ohlcv_full:353 - Loading RUNE/USD 4h from data/OHLC_Kraken\RUNEUSD_240.csv...
2026-04-16 17:23:49.402 | INFO     | kraken_history:fetch_ohlcv_full:355 -   Loaded 4383 bars (2024-01-01 → 2025-12-31)
2026-04-16 17:23:49.402 | INFO     | kraken_history:fetch_ohlcv_full:364 -   History cap 1095d: 4383 → 4383 bars (from 2024-01-01)
2026-04-16 17:23:49.402 | INFO     | kraken_history:_topup_from_api:230 -   Topping up RUNE/USD 4h from 2025-12-31 via API...
2026-04-16 17:23:55.451 | INFO     | kraken_history:_topup_from_api:253 -   Top-up: 635 new bars
2026-04-16 17:23:55.458 | SUCCESS  | kraken_history:fetch_ohlcv_full:393 - RUNE/USD 4h: 5018 bars total (2024-01-01 → 2026-04-16)
2026-04-16 17:23:55.535 | INFO     | kraken_history:get_history_dir:597 - Found Kraken OHLC data at: data/OHLC_Kraken (12027 CSV files)
2026-04-16 17:23:55.535 | INFO     | kraken_history:fetch_ohlcv_full:338 - Loaded BTC/USD 4h from cache (5017 rows)
2026-04-16 17:23:55.535 | INFO     | data.feature_engineer:build_features:614 - Building features for RUNE/USD (5018 rows)
2026-04-16 17:23:55.669 | INFO     | data.feature_engineer:build_features:645 - Dropped 200 NaN/inf rows → 4818 usable rows
2026-04-16 17:23:55.669 | INFO     | data.feature_engineer:build_features:648 - Label distribution: DOWN=1062 NEUTRAL=2802 UP=954
2026-04-16 17:23:55.669 | INFO     | data.feature_engineer:build_features:655 - Regime: ranging=1447 trending_up=1298 trending_down=2073
2026-04-16 17:23:56.197 | INFO     | data.feature_engineer:save_features:669 - Saved features -> data\features\RUNE_USD_4h_btc_features.csv
2026-04-16 17:23:56.222 | INFO     | models.lstm_ensemble:<module>:49 - Ensemble using cuda | AMP=enabled
2026-04-16 17:23:56.226 | INFO     | models.lstm_ensemble:train_ensemble:732 - 
Training 9-model ensemble for RUNE/USD_4h on cuda
2026-04-16 17:23:56.226 | INFO     | models.lstm_ensemble:train_ensemble:733 -   Train: 2866 | Val: 644 | Features: 127
2026-04-16 17:23:56.226 | INFO     | models.lstm_ensemble:build_feature_groups:130 - build_feature_groups: 127 features → 6 groups (127 assigned)
2026-04-16 17:23:56.226 | INFO     | models.lstm_ensemble:train_ensemble:739 -   Multi-stream: 6 groups
2026-04-16 17:23:56.381 | INFO     | models.lstm_ensemble:_train_one:519 -   [1/9] MultiStream: 6 groups × 48 hidden = 288 merged
2026-04-16 17:23:56.381 | INFO     | models.lstm_ensemble:_train_one:565 -   [1/9] Sampler label counts: DOWN=164 NEUTRAL=356 UP=182 → balanced batches
2026-04-16 17:23:57.969 | INFO     | models.lstm_ensemble:_train_one:600 -   [1/9] Class weights: uniform (sampler balances batches) | raw counts: DOWN=699 NEUTRAL=1459 UP=708
2026-04-16 17:23:57.969 | INFO     | models.lstm_ensemble:_train_one:612 -   [1/9] Training seed=42 — 702 segments (stride=4, noise_σ=0.02)
2026-04-16 17:23:58.591 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   0 | val_loss=0.6891 | val_acc=0.5068 | bal_acc=0.3202 | lr=0.001000
2026-04-16 17:23:58.943 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   1 | val_loss=0.8155 | val_acc=0.2517 | bal_acc=0.3392 | lr=0.001000
2026-04-16 17:23:59.280 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   2 | val_loss=0.8538 | val_acc=0.1781 | bal_acc=0.3396 | lr=0.001000
2026-04-16 17:23:59.594 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   3 | val_loss=0.6870 | val_acc=0.4418 | bal_acc=0.3399 | lr=0.001000
2026-04-16 17:23:59.960 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   4 | val_loss=0.7467 | val_acc=0.4298 | bal_acc=0.3683 | lr=0.001000
2026-04-16 17:24:00.288 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   5 | val_loss=0.7157 | val_acc=0.3596 | bal_acc=0.3602 | lr=0.001000
2026-04-16 17:24:00.645 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   6 | val_loss=0.7069 | val_acc=0.4110 | bal_acc=0.3724 | lr=0.001000
2026-04-16 17:24:01.001 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   7 | val_loss=0.7061 | val_acc=0.5034 | bal_acc=0.3939 | lr=0.001000
2026-04-16 17:24:01.340 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   8 | val_loss=0.8236 | val_acc=0.2671 | bal_acc=0.3428 | lr=0.001000
2026-04-16 17:24:01.693 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   9 | val_loss=0.7112 | val_acc=0.4452 | bal_acc=0.3985 | lr=0.001000
2026-04-16 17:24:02.024 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  10 | val_loss=0.7123 | val_acc=0.4332 | bal_acc=0.3558 | lr=0.001000
2026-04-16 17:24:02.295 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  11 | val_loss=0.7723 | val_acc=0.3870 | bal_acc=0.3899 | lr=0.001000
2026-04-16 17:24:02.580 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  12 | val_loss=0.9721 | val_acc=0.2055 | bal_acc=0.3326 | lr=0.001000
2026-04-16 17:24:02.917 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  13 | val_loss=0.8300 | val_acc=0.2860 | bal_acc=0.3513 | lr=0.001000
2026-04-16 17:24:03.238 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  14 | val_loss=0.7465 | val_acc=0.4401 | bal_acc=0.3823 | lr=0.001000
2026-04-16 17:24:03.538 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  15 | val_loss=0.8239 | val_acc=0.3031 | bal_acc=0.3333 | lr=0.001000
2026-04-16 17:24:03.822 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  16 | val_loss=0.8495 | val_acc=0.3253 | bal_acc=0.3491 | lr=0.001000
2026-04-16 17:24:04.175 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  17 | val_loss=0.7640 | val_acc=0.3870 | bal_acc=0.3483 | lr=0.001000
2026-04-16 17:24:04.485 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  18 | val_loss=0.7262 | val_acc=0.4486 | bal_acc=0.3883 | lr=0.001000
2026-04-16 17:24:04.796 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  19 | val_loss=0.8234 | val_acc=0.3990 | bal_acc=0.3505 | lr=0.001000
2026-04-16 17:24:05.083 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  20 | val_loss=1.0065 | val_acc=0.2979 | bal_acc=0.3427 | lr=0.000500
2026-04-16 17:24:05.370 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  21 | val_loss=0.8638 | val_acc=0.3870 | bal_acc=0.3367 | lr=0.000500
2026-04-16 17:24:05.691 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  22 | val_loss=0.8984 | val_acc=0.3767 | bal_acc=0.3639 | lr=0.000500
2026-04-16 17:24:05.992 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  23 | val_loss=0.9091 | val_acc=0.3750 | bal_acc=0.3580 | lr=0.000500
2026-04-16 17:24:06.277 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  24 | val_loss=0.8953 | val_acc=0.4007 | bal_acc=0.3634 | lr=0.000500
2026-04-16 17:24:06.627 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  25 | val_loss=0.9228 | val_acc=0.3870 | bal_acc=0.3573 | lr=0.000500
2026-04-16 17:24:06.967 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  26 | val_loss=0.9454 | val_acc=0.3853 | bal_acc=0.3626 | lr=0.000500
2026-04-16 17:24:07.248 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  27 | val_loss=1.0405 | val_acc=0.3579 | bal_acc=0.3501 | lr=0.000500
2026-04-16 17:24:07.522 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  28 | val_loss=0.9134 | val_acc=0.4264 | bal_acc=0.3385 | lr=0.000500
2026-04-16 17:24:07.816 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  29 | val_loss=0.9865 | val_acc=0.3716 | bal_acc=0.3580 | lr=0.000500
2026-04-16 17:24:08.122 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  30 | val_loss=0.9385 | val_acc=0.4589 | bal_acc=0.3490 | lr=0.000500
2026-04-16 17:24:08.400 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  31 | val_loss=0.9464 | val_acc=0.4195 | bal_acc=0.3450 | lr=0.000250
2026-04-16 17:24:08.740 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  32 | val_loss=1.0018 | val_acc=0.3853 | bal_acc=0.3417 | lr=0.000250
2026-04-16 17:24:09.042 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  33 | val_loss=0.9978 | val_acc=0.3973 | bal_acc=0.3289 | lr=0.000250
2026-04-16 17:24:09.412 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  34 | val_loss=0.9957 | val_acc=0.3955 | bal_acc=0.3295 | lr=0.000250
2026-04-16 17:24:09.721 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  35 | val_loss=1.0103 | val_acc=0.4110 | bal_acc=0.3480 | lr=0.000250
2026-04-16 17:24:10.056 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  36 | val_loss=1.0395 | val_acc=0.4024 | bal_acc=0.3624 | lr=0.000250
2026-04-16 17:24:10.362 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  37 | val_loss=1.0132 | val_acc=0.4486 | bal_acc=0.3591 | lr=0.000250
2026-04-16 17:24:10.773 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  38 | val_loss=1.1224 | val_acc=0.3750 | bal_acc=0.3299 | lr=0.000250
2026-04-16 17:24:11.083 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  39 | val_loss=1.0349 | val_acc=0.4452 | bal_acc=0.3207 | lr=0.000250
2026-04-16 17:24:11.359 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  40 | val_loss=1.0301 | val_acc=0.4555 | bal_acc=0.3378 | lr=0.000250
2026-04-16 17:24:11.652 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  41 | val_loss=1.0224 | val_acc=0.4829 | bal_acc=0.3672 | lr=0.000250
2026-04-16 17:24:11.969 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  42 | val_loss=1.0767 | val_acc=0.4264 | bal_acc=0.3299 | lr=0.000125
2026-04-16 17:24:12.351 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  43 | val_loss=1.0553 | val_acc=0.4469 | bal_acc=0.3465 | lr=0.000125
2026-04-16 17:24:12.657 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  44 | val_loss=1.0834 | val_acc=0.4007 | bal_acc=0.3353 | lr=0.000125
2026-04-16 17:24:12.948 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  45 | val_loss=1.0576 | val_acc=0.4281 | bal_acc=0.3333 | lr=0.000125
2026-04-16 17:24:13.229 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  46 | val_loss=1.0493 | val_acc=0.4384 | bal_acc=0.3348 | lr=0.000125
2026-04-16 17:24:13.510 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  47 | val_loss=1.0792 | val_acc=0.4298 | bal_acc=0.3459 | lr=0.000125
2026-04-16 17:24:13.802 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  48 | val_loss=1.0904 | val_acc=0.4298 | bal_acc=0.3401 | lr=0.000125
2026-04-16 17:24:14.098 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  49 | val_loss=1.1067 | val_acc=0.4247 | bal_acc=0.3263 | lr=0.000125
2026-04-16 17:24:14.390 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  50 | val_loss=1.0951 | val_acc=0.4435 | bal_acc=0.3381 | lr=0.000125
2026-04-16 17:24:14.681 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  51 | val_loss=1.0903 | val_acc=0.4298 | bal_acc=0.3479 | lr=0.000125
2026-04-16 17:24:14.994 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  52 | val_loss=1.1026 | val_acc=0.4229 | bal_acc=0.3436 | lr=0.000125
2026-04-16 17:24:15.285 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  53 | val_loss=1.0946 | val_acc=0.4452 | bal_acc=0.3520 | lr=0.000063
2026-04-16 17:24:15.570 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  54 | val_loss=1.1105 | val_acc=0.4349 | bal_acc=0.3447 | lr=0.000063
2026-04-16 17:24:15.866 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  55 | val_loss=1.1254 | val_acc=0.4247 | bal_acc=0.3400 | lr=0.000063
2026-04-16 17:24:16.159 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  56 | val_loss=1.1266 | val_acc=0.4247 | bal_acc=0.3381 | lr=0.000063
2026-04-16 17:24:16.448 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  57 | val_loss=1.1227 | val_acc=0.4332 | bal_acc=0.3367 | lr=0.000063
2026-04-16 17:24:16.738 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  58 | val_loss=1.1122 | val_acc=0.4521 | bal_acc=0.3446 | lr=0.000063
2026-04-16 17:24:17.043 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  59 | val_loss=1.1071 | val_acc=0.4572 | bal_acc=0.3472 | lr=0.000063
2026-04-16 17:24:17.043 | INFO     | models.lstm_ensemble:_train_one:687 -     Early stop at epoch 59 (best bal_acc=0.3985)
2026-04-16 17:24:17.046 | INFO     | models.lstm_ensemble:_train_one:698 -   [1/9] Best balanced_acc: 0.3985
2026-04-16 17:24:17.131 | INFO     | models.lstm_ensemble:_train_one:704 -   [1/9] Temperature T=1.765 (over-confident → spreading (T=1.76))
2026-04-16 17:24:17.211 | INFO     | models.lstm_ensemble:_train_one:519 -   [2/9] MultiStream: 6 groups × 48 hidden = 288 merged
2026-04-16 17:24:17.218 | INFO     | models.lstm_ensemble:_train_one:565 -   [2/9] Sampler label counts: DOWN=164 NEUTRAL=356 UP=182 → balanced batches
2026-04-16 17:24:17.218 | INFO     | models.lstm_ensemble:_train_one:600 -   [2/9] Class weights: uniform (sampler balances batches) | raw counts: DOWN=699 NEUTRAL=1459 UP=708
2026-04-16 17:24:17.220 | INFO     | models.lstm_ensemble:_train_one:612 -   [2/9] Training seed=179 — 702 segments (stride=4, noise_σ=0.02)
2026-04-16 17:24:17.521 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   0 | val_loss=0.6585 | val_acc=0.4897 | bal_acc=0.3510 | lr=0.001000
2026-04-16 17:24:17.858 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   1 | val_loss=0.7875 | val_acc=0.2620 | bal_acc=0.3417 | lr=0.001000
2026-04-16 17:24:18.164 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   2 | val_loss=0.7217 | val_acc=0.3750 | bal_acc=0.3568 | lr=0.001000
2026-04-16 17:24:18.487 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   3 | val_loss=0.7719 | val_acc=0.3921 | bal_acc=0.3258 | lr=0.001000
2026-04-16 17:24:18.776 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   4 | val_loss=0.7436 | val_acc=0.3031 | bal_acc=0.3376 | lr=0.001000
2026-04-16 17:24:19.105 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   5 | val_loss=0.7828 | val_acc=0.2466 | bal_acc=0.3253 | lr=0.001000
2026-04-16 17:24:19.400 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   6 | val_loss=0.6762 | val_acc=0.4966 | bal_acc=0.3404 | lr=0.001000
2026-04-16 17:24:19.680 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   7 | val_loss=0.6425 | val_acc=0.5171 | bal_acc=0.3474 | lr=0.001000
2026-04-16 17:24:20.000 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   8 | val_loss=0.8086 | val_acc=0.2329 | bal_acc=0.3476 | lr=0.001000
2026-04-16 17:24:20.283 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   9 | val_loss=0.6993 | val_acc=0.4212 | bal_acc=0.3725 | lr=0.001000
